ETF代码,ETF名称,基金规模
561800,稀有金属ETF基金,1.69214624
159608,稀有金属ETF,6.51052549
159671,稀有金属ETF基金,5.83280815
512710,军工龙头ETF,149.19972587
562800,稀有金属ETF,24.41569966
516650,有色金属ETF基金,8.98826835
159652,有色50ETF,21.79030574
561330,矿业ETF,2.65828388
159227,航空航天ETF,13.96982506
159208,航天航空ETF,2.55291356
159690,矿业ETF,0.59005155
159546,集成电路ETF,1.79958187
159881,有色60ETF,0.81999333
159767,电池龙头ETF,2.86535049
159880,有色ETF基金,3.60034653
562820,集成电路ETF,1.04665824
159241,航空航天ETF天弘,5.16176349
512670,国防ETF,70.73270747
159267,航天ETF,2.24034224
159871,有色金属ETF,3.92696375
512400,有色金属ETF,138.32368322
159876,有色龙头ETF,3.12544378
159638,高端装备ETF,11.32207897
588680,科创100ETF增强指数基金,0.91117494
159840,锂电池ETF,20.07977339
159775,电池ETF基金,3.51213533
560860,工业有色ETF,36.02189532
159757,电池ETF景顺,4.45701269
159806,新能源车ETF,12.22475325
159755,电池ETF,141.33127295
159824,新能车ETF,3.88791541
588980,科创100ETF广发,0.4803292
589560,科创人工智能ETF汇添富,5.78076308
589520,科创人工智能ETF华宝,5.96952146
517850,张江ETF,0.67475464
588930,科创板人工智能ETF,23.27725894
588760,人工智能ETF科创,25.94618624
589380,科创AIETF富国,2.37457694
516660,新能源车ETF基金,3.9943445
159751,港股科技ETF,11.90456262
588790,科创AIETF,71.5297792
588730,科创人工智能ETF,18.02717653
589010,科创人工智能ETF华夏,7.35326748
520980,港股通科技30ETF,52.62087786
589980,科创100ETF汇添富,5.3197373
516390,新能源汽车ETF,3.71633121
589090,科创AIETF鹏华,2.72750856
563210,专精特新ETF,0.89132103
588780,科创芯片设计ETF,7.30861106
159218,卫星产业ETF,4.01732329
513560,香港科技ETF,8.8026111
515030,新能源车ETF,59.52088368
589960,科创新能源ETF易方达,5.163397
588120,科创板100ETF,12.34975174
159637,新能源车龙头ETF,11.57785315
560170,央企科技ETF,14.75326117
512680,军工ETF龙头,76.88329441
520700,港股创新药ETF基金,9.976444
515700,新能车ETF,24.98268377
588880,科创100ETF华泰柏瑞,2.20246576
563230,卫星ETF,2.5671411
588800,科创100ETF华夏,29.11879041
563050,央企科技50ETF,1.76627159
513120,港股创新药ETF,248.95032785
512560,军工ETF易方达,6.88812018
512660,军工ETF,142.73776641
517120,创新药ETF华泰柏瑞,3.50010086
520970,港股通创新药ETF嘉实,10.46450196
588830,科创新能源ETF,8.9031584
588210,科创100ETF易方达,4.945556
562880,电池ETF嘉实,13.95605445
159944,材料ETF,0.43690845
588500,科创100增强ETF易方达,1.35759939
159748,创新药ETF富国,6.65604455
588190,科创100ETF,39.40021373
588960,科创板新能源ETF,1.41204156
520510,港股通医疗ETF,2.61586272
159269,港股通科技ETF南方,17.38558393
561160,锂电池ETF,21.52930787
517380,创新药ETF天弘,14.6685719
159366,港股医疗ETF,3.27563217
159768,房地产ETF,7.88791549
512290,生物医药ETF,33.759761
513780,港股创新药50ETF,36.77988707
588030,科创100指数ETF,72.29589102
513280,恒生生物科技ETF,5.01746799
159622,创新药ETF沪港深,7.24969121
588520,科创增强ETF,0.39294649
562380,央企科技引领ETF,1.06552141
588900,科创100ETF南方,8.30851966
516580,新能源主题ETF,1.29286651
159283,通用航空ETF南方,1.16187659
588220,科创100ETF基金,71.94001183
159875,新能源ETF,12.38584792
512810,国防军工ETF,11.54567455
589100,科创芯片ETF国泰,6.55988178
513160,港股科技30ETF,50.12978533
513980,港股科技50ETF,254.25788251
513860,港股通科技ETF,48.84731474
588460,科创50增强ETF,8.3369478
517110,创新药ETF国泰,4.57155525
512010,医药ETF,191.26127902
588070,科创板成长ETF,0.7708542
159796,电池50ETF,78.28324598
520860,港股通科技ETF富国,7.89359674
159837,生物科技ETF,13.12792031
561910,电池ETF,52.78336343
588920,科创芯片ETF指数,4.42654262
563320,通用航空ETF,8.60640508
159752,新能源龙头ETF,5.25112115
159763,新材料ETF基金,0.69107113
588270,科创200ETF易方达,1.7939328
159892,恒生医药ETF,60.51545201
588810,科创芯片ETF富国,5.89510524
159615,恒生生物科技ETF,5.34135756
588750,科创芯片50ETF,55.2783602
588130,科创医药ETF基金,0.40891163
159742,恒生科技指数ETF,45.76404578
513150,港股通科技ETF华泰柏瑞,1.26240361
516270,新能源50ETF,2.93373761
589180,科创新材料ETF汇添富,0.20789736
159707,地产ETF,4.74475999
516500,生物科技ETF,1.22129779
159251,港股科技ETF基金,2.62443962
515060,房地产ETF基金,8.24625305
159310,芯片ETF天弘,11.68862732
159506,港股通医疗ETF富国,36.4957138
159322,黄金股票ETF基金,0.94685351
512480,半导体ETF,231.97149749
588250,科创生物医药ETF,2.10904275
588890,科创芯片ETF南方,23.0953604
159206,卫星ETF,11.39732219
159761,新材料50ETF,1.72341223
513330,恒生互联网ETF,356.8007608
520670,港股通科技ETF嘉实,2.3962274
516640,芯片龙头ETF,15.07681151
589720,科创创新药ETF国泰,4.5242676
159562,黄金股ETF,24.10258386
588910,科创价值ETF,2.65929598
517400,黄金股票ETF,3.48878816
588990,科创芯片ETF博时,6.90663019
159713,稀土ETF,13.53561371
516850,新能源ETF基金,1.72387769
159858,创新药ETF南方,3.53662411
520500,恒生创新药ETF,16.21281271
516930,生物科技ETF基金,0.58982224
159557,恒生医疗ETF,2.67644616
159255,通用航空ETF易方达,0.98192489
159703,新材料ETF,0.69605686
520840,港股通恒生科技ETF,9.49367918
513060,恒生医疗ETF,74.26533738
159847,医疗ETF易方达,11.6623884
159849,生物科技指数ETF,0.7723532
513020,港股科技ETF,45.54490372
159539,信创ETF广发,1.03169985
516160,新能源ETF,61.31281422
159750,港股科技50ETF,14.20840783
513180,恒生科技指数ETF,453.85349311
516090,新能源ETF易方达,9.97526174
159992,创新药ETF,123.23831811
588290,科创芯片ETF基金,37.64002299
159688,恒生互联网ETF,13.59227435
159325,半导体ETF南方,2.2541374
159760,医疗健康ETF泰康,0.92952075
159316,恒生创新药ETF,28.31937797
588700,科创医药ETF嘉实,2.82197474
516890,新材料ETF指数基金,0.33259914
159747,香港科技ETF,5.35662891
159567,港股创新药ETF,77.09713073
516780,稀土ETF,33.61841524
588020,科创成长50ETF,6.67376645
159776,港股通医药ETF,1.45954397
588860,科创医药ETF,2.09102854
159838,医药50ETF,1.67582175
159202,恒生互联网科技ETF,12.18207523
589850,科创50ETF东财,4.02507065
588110,科创成长ETF,3.88676862
159718,港股医药ETF,2.52233906
159740,恒生科技ETF,155.03233224
159804,创中盘88ETF,1.36944737
516320,高端装备ETF,0.78432121
560900,创新药企ETF,1.0436774
159315,黄金股ETF基金,1.21506493
516350,芯片ETF易方达,13.28712562
513200,港股通医药ETF,23.13192571
159660,纳指100ETF,37.33048936
517990,医药ETF沪港深,0.44465186
589050,科创综指ETF兴业,0.3731644
515120,创新药ETF,58.89422301
515950,医药龙头ETF,4.67309447
512200,房地产ETF,71.83139892
159560,芯片ETF景顺,4.17652379
588010,科创新材料ETF,2.88792156
512760,芯片ETF,106.51664633
516920,芯片50ETF,6.81012495
159323,港股通汽车ETF,2.23828367
516360,新材料ETF,0.77953829
512170,医疗ETF,266.88857653
159321,黄金股票ETF,2.12725006
159102,港股通生物科技ETF,8.81017024
513320,恒生新经济ETF,1.82291801
159599,芯片ETF基金,11.45395237
159538,信创ETF富国,1.5862014
159801,芯片ETF龙头,47.9599298
520720,香港汽车ETF,2.14797506
159262,港股通科技ETF,55.05608301
516380,智能电动车ETF,1.19511129
589120,科创创新药ETF汇添富,3.5436162
159715,稀土ETF易方达,6.18658873
159326,电网设备ETF,1.00852583
159378,通用航空ETF,12.77211009
159636,港股通科技30ETF,408.82750652
588770,科创信息技术ETF摩根,0.94208636
520600,港股汽车ETF,6.36934144
159237,港股汽车ETF基金,1.20393082
589700,科创成长ETF南方,0.3287142
513890,恒生科技HKETF,8.13456448
513130,恒生科技ETF,415.20633843
159210,港股汽车ETF,0.8670142
588260,科创信息ETF,1.46231982
159641,双碳ETF,2.08718998
513770,港股互联网ETF,117.7437038
159286,港股创新药ETF鹏华,5.62805477
516080,创新药ETF易方达,7.71821648
520920,N恒生科技ETF天弘,12.39539312
513580,恒生科技ETF指数基金,48.67022202
588100,科创信息技术ETF,3.52853532
159665,半导体龙头ETF,4.0589057
588200,科创芯片ETF,399.39345285
588280,科创50ETF指数基金,4.5415081
513700,香港医药ETF,10.06326958
560260,医疗ETF龙头,16.37941075
159570,港股通创新药ETF,222.86370355
562930,软件ETF易方达,2.14389949
516150,稀土ETF嘉实,78.05607606
512120,医药50ETF,3.96913306
159101,港股通科技ETF基金,22.21233814
159392,航空ETF,0.72272041
513260,恒生科技ETF基金,74.48025551
516710,新材料50ETF,0.528336
560000,智慧电车ETF,0.11301526
159861,碳中和50ETF,2.30735518
159813,半导体ETF,53.46031642
588940,科创50ETF富国,4.6026834
520880,港股通创新药ETF,18.0029934
513010,恒生科技ETF易方达,221.56276465
513040,港股通互联网ETF,46.71960562
513380,恒生科技ETF龙头,100.02789587
589660,科创综指ETF南方,5.7918222
589060,科创综指ETF东财,1.02940783
159642,碳中和100ETF,0.86379762
159217,港股通创新药ETF工银,54.28742742
516220,化工龙头ETF,2.52936
588720,科创50ETF中银,2.02247442
589550,科创价值ETF华夏,0.55981082
159828,医疗ETF,20.70193144
517520,黄金股ETF,117.48699737
520830,沙特ETF,16.65380557
520690,港股创新药精选ETF,4.38736896
562910,高端制造ETF,1.36233705
159995,芯片ETF,286.42912853
588040,科创50ETF指数,1.21830725
588870,科创50指数ETF,6.03612352
589900,科创综指ETF博时,7.21959704
159329,沙特ETF,17.55759535
588370,科创50增强ETF南方,1.1283888
561590,中证1000增强ETF,0.40019448
159303,恒生医疗ETF基金,1.0158312
159230,通用航空ETF基金,0.67807817
159537,信创ETF,1.42338005
588550,科创综指增强ETF易方达,3.3634861
159231,通用航空ETF华宝,1.08279851
159257,航空ETF基金,0.57355464
159640,碳中和龙头ETF,1.77198888
516060,创新药产业ETF,1.34225346
159512,汽车ETF,0.98503379
560360,软件指数ETF,2.02524805
159540,信创ETF易方达,1.82734991
516120,化工50ETF,12.73222206
159779,消费电子50ETF,2.6084537
562990,碳中和ETF易方达,9.9561356
588060,科创50ETF龙头,69.38575529
159792,港股通互联网ETF,977.09034619
159797,医疗器械ETF基金,3.16020915
589990,科创综指ETF华泰柏瑞,2.623869
561010,软件ETF基金,1.42258864
588180,科创50ETF基金,27.93051317
588080,科创板50ETF,769.04760285
561600,消费电子ETF,4.5623894
589080,科创综指ETF汇添富,3.39347448
589500,科创综指ETF工银,2.4578736
159741,恒生科技ETF嘉实,9.28356196
159886,机械ETF,0.66169832
588840,科创板50ETF基金,1.12910028
159938,医药卫生ETF,71.98933862
588670,科创综指增强ETF,1.10023872
516590,智能汽车ETF易方达,1.07894745
515230,软件ETF,19.42033387
589630,科创综指ETF国泰,4.37461805
588230,科创200ETF,8.7081978
560060,碳中和ETF,2.188791
588000,科创50ETF,756.84469212
589600,科创综指ETF富国,5.34684586
560560,碳中和ETF泰康,0.76344856
589200,科创200ETF工银,0.8600319
588150,科创50ETF南方,2.96836671
588050,科创ETF,123.50604025
589890,科创综指ETF景顺,6.59097344
589800,科创综指ETF易方达,18.49583963
516020,化工ETF,27.03285854
588090,科创板ETF,56.57808894
588950,科创50ETF景顺,2.99883738
516820,医疗创新ETF,15.48537308
159639,碳中和ETF南方,6.40256368
589000,科创综指ETF华夏,16.19038681
589770,科创综指ETF招商,4.01896235
159568,港股互联网ETF,3.82173013
159852,软件ETF,49.54588544
159898,医疗器械指数ETF,5.55659299
159870,化工ETF,182.33102534
159929,医药ETF,22.75577621
561100,消费电子ETF富国,11.60752642
159720,智能车ETF泰康,0.70436931
159259,成长ETF,11.12484256
159387,创业板新能源ETF国泰,0.85203908
159883,医疗器械ETF,46.90132876
589860,科创综指ETF天弘,3.27486848
589680,科创综指ETF鹏华,15.69403821
516960,机械ETF,0.18898691
159368,创业板新能源ETF华夏,11.11681832
159508,生物医药ETF基金,0.34959755
159885,碳中和ETF基金,2.81910055
159835,创新药50ETF,2.22219116
588450,科创50ETF增强,1.53512293
562010,绿色能源ETF,0.21341297
159335,央企科创ETF,2.43676702
561190,双碳ETF,6.0228118
588160,科创材料ETF,1.66052448
159239,港股通汽车ETF富国,1.68668992
561550,500增强ETF,16.83112709
159859,生物医药ETF,31.98481737
588820,科创200ETF基金,4.22464
159550,互联网ETF沪港深,1.64609406
159899,软件龙头ETF,3.9957124
589880,科创综指ETF建信,7.03999532
159778,工业互联ETF,0.67683835
159270,创业板200ETF南方,0.52889687
561310,消电ETF,0.63344165
562950,消费电子ETF易方达,16.50099611
159305,储能电池ETF广发,1.62946374
159605,中概互联ETF,50.65907743
159530,机器人ETF易方达,132.24216452
560990,中金科技先锋ETF,0.29435701
560550,碳中和ETF龙头,3.96296577
517360,沪港深科技ETF,0.27073758
159586,计算机ETF南方,5.08027195
589780,科创200ETF富国,3.73539308
159891,医疗ETF基金,1.36811919
159320,电网ETF,0.44944956
159856,互联网龙头ETF,3.07868997
516070,低碳ETF易方达,2.71407458
560980,光伏ETF龙头,3.32007312
159839,生物药ETF,5.88902065
159573,创业板200ETF华夏,1.5114965
159502,标普生物科技ETF,15.15094852
588240,科创200ETF指数,2.90112732
562920,信息安全ETF,0.6615728
159998,计算机ETF,33.35785782
159613,信息安全ETF,0.59759269
159877,医疗ETF南方,1.00355898
560120,现金流500ETF,0.57075814
159297,港股通创新药ETF南方,5.28458198
515960,医药ETF嘉实,2.51617592
159261,创业板新能源ETF鹏华,1.07607368
516180,光伏ETF基金,0.81629795
515920,智能消费ETF,1.44336548
159280,港股通互联网ETF汇添富,1.27878333
159572,创业板200ETF易方达,6.53485448
561780,1000增强ETF,0.1718698
159590,软件50ETF,1.96072736
562600,医疗器械ETF,2.09304154
561750,中证A50ETF博时,1.15337768
159311,数字经济ETF易方达,0.52748814
517200,互联网ETF,1.08462236
513090,香港证券ETF,343.43336091
159505,国证2000指数ETF,0.11541215
563030,中证500增强ETF易方达,1.17696502
159618,光伏ETF指数基金,0.65784212
589820,科创200ETF建信,1.60667733
516610,医疗服务ETF,0.93086594
562570,信创ETF,4.45436256
562300,碳中和ETF基金,0.70573685
513050,中概互联网ETF,434.47539283
159725,线上消费ETF,0.49227224
589580,科创综指ETF兴银,0.14320688
560770,机器人指数ETF,15.20926851
562580,可选消费ETF,0.3382614
159272,机器人ETF富国,26.62294006
159566,储能电池ETF,16.70400109
560100,中证500增强ETF,0.79715893
517800,人工智能50ETF,3.37678586
159679,中证1000增强ETF,0.87304337
512720,计算机ETF,13.56892486
159790,碳中和ETF,21.63874857
159863,光伏ETF基金,2.55788956
515250,智能汽车ETF,7.7462951
159609,光伏龙头ETF,2.96316391
159731,石化ETF,0.44706011
515790,光伏ETF,139.58445169
159575,创业板200ETF银华,0.0776396
516790,医疗ETF华泰柏瑞,1.46868608
159873,医疗设备ETF,1.017088
159937,黄金ETF基金,301.36754878
159249,A500增强ETF工银,0.40195419
512580,环保ETF,13.61152118
159376,A500ETF指数基金,1.13771478
560280,工程机械ETF,3.3179184
512650,长三角ETF,2.6504173
159807,科技ETF,10.17834899
513360,教育ETF,3.98806353
159657,疫苗ETF鹏华,1.18138907
159934,黄金ETF,261.612695
530080,上证180ETF天弘,0.55607246
159678,中证500增强ETF,0.74932609
560810,央企ESGETF,6.58454396
562030,信创ETF基金,0.92681784
562970,光伏ETF易方达,6.36014392
512960,央企结构调整ETF,56.65780331
159834,金ETF,9.04341844
588690,科创指数增强ETF,2.5132506
159616,农牧ETF,0.51526651
560800,数字经济ETF,7.23512557
159607,中概互联网ETF,10.78821294
159939,信息技术ETF,15.43805026
159256,创业板软件ETF华夏,0.87331267
159571,创业板200ETF富国,0.38037376
516110,汽车ETF,9.0344955
159889,智能汽车ETF,0.46541765
515590,500等权ETF,0.84019161
159855,影视ETF,1.0590032
159635,基建50ETF,2.21786465
159728,在线消费ETF,0.56777073
159959,央企ETF,29.35917439
517770,游戏传媒ETF,0.77221618
516520,智能驾驶ETF,3.84640533
530280,上证180ETF指数基金,0.7556382
159830,上海金ETF,12.95677304
588850,科创机械ETF,0.3211839
159213,机器人ETF基金,5.3821359
518600,上海金ETF,25.6695151
159240,中证A500增强ETF天弘,0.18070043
159521,国证2000ETF指数基金,0.18940299
562560,信息技术ETF,0.47414787
561380,电网ETF,1.30138882
159812,黄金基金ETF,10.534214
159701,物联网ETF招商,0.13508264
561280,中证1000ETF增强,0.73662332
159793,线上消费ETF基金,0.28844128
159559,机器人50ETF,26.43488739
159658,数字经济ETF,1.69421711
515750,科技50ETF,8.02473918
516880,光伏50ETF,19.27155109
517050,互联网ETF华泰柏瑞,3.86054588
560850,信创50ETF,1.9183338
512060,中证A100ETF天弘,0.29639392
512910,中证A100ETF,2.72163091
159542,工程机械ETF,0.14438055
159318,恒生港股通ETF,0.47631006
518890,中银上海金ETF,18.53255783
515550,国联中证500ETF,0.17039368
561950,500指数增强ETF,2.46187968
159795,智能汽车ETF基金,0.4206269
516550,农业ETF,1.73264998
159278,机器人ETF鹏华,8.5769866
518860,黄金ETFAU,21.02793266
518660,黄金ETF基金,38.38015573
530530,上证580ETF华夏,1.6178766
589300,科创综指ETF嘉实,1.03051683
530380,N上证380ETF易方达,4.35239108
562050,药ETF,1.0692416
159888,智能车ETF,0.86454618
159258,机器人ETF南方,14.11597173
159831,上海金ETF嘉实,7.06567666
530300,上证180ETF华泰柏瑞,0.66088176
159770,机器人ETF,90.08028611
518680,金ETF,38.74850058
159526,机器人ETF嘉实,8.68483199
159371,创业板50ETF富国,0.81358299
518850,黄金ETF华夏,57.26575177
515210,钢铁ETF,36.60434687
516000,数据ETF,3.49737114
159619,基建ETF,1.94283943
516950,基建ETF,4.05559295
517660,物联网ETF沪港深,0.56565766
512950,央企改革ETF,59.61984472
159896,物联网ETF南方,0.81405026
516970,基建50ETF,26.36632688
562360,机器人ETF基金,5.5277169
512330,信息科技ETF,6.42850992
516050,科技龙头ETF,3.94089432
516290,光伏龙头ETF,5.22549759
562500,机器人ETF,226.6574575
512100,中证1000ETF,767.68635705
518800,黄金基金ETF,201.30394369
159629,1000ETF,134.36119745
515320,电子50ETF,1.40693391
563550,A500增强ETF摩根,1.20168005
560630,机器人产业ETF,2.81766618
513220,中概互联ETF,3.60458553
159872,智能网联汽车ETF,0.61268106
159845,中证1000ETF,454.72207872
159786,VRETF,2.11563122
515260,电子ETF,9.4644129
159857,光伏ETF,24.71611677
159551,机器人产业ETF,5.31176271
517350,沪港深科技ETF广发,0.94700294
516700,大数据产业ETF,1.14070274
159966,创业板价值ETF,5.20658705
516330,物联网ETF,0.17237816
516260,物联网50ETF,0.81562659
159377,创业板医药ETF国泰,0.2972742
530800,上证180ETF基金,0.24868416
159864,光伏50ETF,6.86923582
518880,黄金ETF,676.66321031
563650,中证A500龙头ETF,1.45551705
530000,上证50ETF天弘,16.32580583
512870,杭州湾区ETF,0.42047688
159500,500ETF,1.56807002
530180,上证180ETF易方达,0.8562288
159645,疫苗ETF富国,0.23149881
159997,电子ETF,14.94334247
159633,中证1000ETF易方达,15.63408529
515190,中银证券500ETF,3.38636192
159628,国证2000ETF,12.94989905
159107,创业板软件ETF富国,2.01224652
560010,中证1000ETF指数,353.29359116
563880,中证A500指数ETF,40.71362597
563630,A500增强ETF,0.51427145
560380,A100ETF南方,2.01954725
159643,疫苗ETF,0.52521713
159591,中证A50ETF,7.70722668
561200,中证A100ETF工银,0.45632225
159685,1000增强ETF天弘,0.1811721
159923,中证A100ETF基金,0.2640221
515800,800ETF,53.22109
561880,A100ETF基金,1.73678195
159820,中证500ETF天弘,20.36489031
560750,A500ETF申万菱信,4.4752926
517160,长江保护主题ETF,16.97005856
159221,现金流ETF嘉实,6.88430309
159379,A500ETF融通,1.1862584
516620,影视ETF,0.79122033
159276,现金流ETF汇添富,2.17183154
562000,中证A100ETF基金,8.59945977
563060,央企50ETF,0.50236039
530580,上证180ETF南方,1.02922969
159732,消费电子ETF,45.2787087
159687,亚太精选ETF,5.44402416
561090,中证A500增强ETF,2.44850242
561180,A100ETF,0.78327014
159850,恒生国企ETF,8.23845421
159620,500成长ETF,0.58346812
512260,中证500低波动ETF,0.54687521
515530,中证500ETF泰康,0.68562782
159677,1000增强ETF,0.48434619
159223,现金流ETF永赢,3.15572606
159630,A100ETF基金,0.17716668
561770,中证A100指数ETF,0.932287
563220,中证A500ETF富国,182.79046925
516570,化工行业ETF,0.81721463
159356,A500ETF基金,27.6801087
159587,粮食ETF广发,0.14045507
562860,生物疫苗ETF,2.45171256
560110,中证1000ETF基金,1.96836017
516300,中证1000ETF华泰柏瑞,0.71983413
159918,中创400ETF,0.79775125
159631,中证A100ETF,0.63755095
563090,上证50增强ETF易方达,0.55292328
512510,中证500ETF华泰柏瑞,9.8988607
512080,A500ETF中金,13.58066156
515000,科技ETF,35.73381833
512220,TMTETF,5.73159595
513900,港股通100ETF,1.35811458
562850,央企能源ETF,0.61723448
159543,国证2000ETF基金,0.54855516
512050,A500ETF基金,183.48767719
588660,科创创业50ETF基金,1.1272352
560510,中证A500ETF,37.78559522
159225,现金流ETF基金,3.30033843
159312,恒生ETF港股通,0.45005024
562520,中证1000成长ETF,0.64158328
515400,大数据ETF,13.79382187
159222,自由现金流ETF易方达,3.81647628
159788,港股通100ETF,1.63690749
513070,港股消费ETF易方达,8.66301027
159361,A500ETF易方达,232.72229087
159825,农业ETF,24.28196778
560820,中证A50ETF新华,0.27694608
159922,中证500ETF,137.27175946
515110,一带一路ETF易方达,3.1418073
563080,中证A50ETF易方达,21.3785387
516600,消费服务ETF,0.93385828
159215,中证A500ETF指数基金,15.83210917
159337,中证500ETF基金,6.18117346
159920,恒生ETF,163.70361313
512500,中证500ETF华夏,172.31757891
563660,A500ETF银河,1.74381307
159390,A50指数ETF,3.37960504
159386,A500ETF永赢,2.14665079
159680,1000ETF增强,7.57127444
159982,中证500ETF鹏华,2.93311085
159362,A500ETF工银,14.33491798
516800,智能制造ETF,2.2236718
159358,中证A500ETF基金,19.89353978
563360,A500ETF华泰柏瑞,274.54467363
159758,红利质量ETF,10.30827132
520940,港股通恒生ETF,0.82989749
513100,纳指ETF,171.62058735
159517,800增强ETF,0.11006964
515350,民生加银300ETF,0.94457261
159974,央企创新ETF,0.9237182
515600,央企创新ETF,18.28371538
513390,纳指100ETF,37.60022041
159201,自由现金流ETF,44.9140598
561500,漂亮50ETF,0.60364155
588390,科创创业50ETF,3.15367199
560350,中证A50ETF指数基金,21.96248321
159907,2000ETF,1.97394892
159236,自由现金流ETF工银,0.70857041
513310,中韩半导体ETF,19.08321264
512240,A50ETF龙头,0.14829934
515200,创新100ETF,1.5607504
562310,沪深300成长ETF,11.29187184
560950,500ETF增强,0.20205315
561260,能源ETF,0.50686432
159723,科技龙头ETF,0.82673769
563800,A500ETF龙头,171.43701977
159902,中小100ETF,4.27610944
530680,上证180指数ETF基金,2.99171118
159653,ESG300ETF,0.66942593
159968,中证500ETF博时,5.10579306
560530,中证A500ETF摩根,60.09198859
159351,A500ETF嘉实,121.00682394
159353,中证A500ETF景顺,71.57057503
159910,基本面120ETF,3.0052418
513210,恒生ETF易方达,0.63590792
515980,UC人工智能ETF,78.15197412
159289,创业板综指ETF鹏华,2.48170701
159271,恒生指数ETF,1.17371962
159541,创业板综ETF万家,1.60057135
512970,大湾区ETF,0.89068954
512250,中证A50ETF招商,0.18162524
512020,A500ETF指数,33.25589829
159895,物联网ETF易方达,0.93676121
563500,中证A500ETF华宝,7.88542548
159661,A100ETF嘉实,0.37901041
563860,A500ETF海富通,5.17303781
561920,疫苗龙头ETF,0.21627452
159730,龙头家电ETF,0.36121616
515680,央企创新ETF嘉实,18.56542321
513290,纳指生物科技ETF,13.13028408
515580,科技100ETF,5.39259386
515900,央企创新驱动ETF,34.90517827
515150,一带一路ETF,7.64126106
159954,H股ETF,3.98850412
159686,A100ETF易方达,0.75128125
512190,浙商之江凤凰ETF,0.67966659
159698,粮食ETF,1.79009381
563760,全指自由现金流ETF,1.7942261
513990,港股通ETF,0.8897
159973,民企ETF,3.90526638
159960,恒生中国企业ETF,5.75828157
516190,文娱传媒ETF,0.22756495
159380,A500ETF东财,3.32048008
563780,现金流全指ETF,4.90056251
561870,自由现金流ETF全指,3.0731328
561230,中证A50ETF基金,10.44738318
561130,国货ETF,1.7558333
159556,中证2000ETF增强,0.21673512
560610,A500指数ETF,55.46891458
159385,数字经济ETF富国,2.72227798
159288,创业板综ETF银华,1.93327981
159592,A50ETF基金,19.90742159
563600,A500增强ETF易方达,1.71684177
562700,汽车零部件ETF,2.5486825
561990,沪深300增强ETF,5.94978676
515360,方正沪深300ETF,2.36895471
159203,大盘成长ETF,0.1596625
159338,中证A500ETF,225.02067763
515660,沪深300ETF国联安,47.43619681
159528,国企改革ETF,0.18492173
517000,沪港深500ETF,2.74618685
159827,农业50ETF,0.90648189
513590,香港消费ETF,3.0417949
517170,沪港深ETF,0.38227444
517100,AH500ETF,2.36955216
159359,中证A500ETF华安,12.54594417
513800,日本东证指数ETF,9.11398172
159735,港股消费ETF,8.35675677
