ETF代码,ETF名称,完整代码,基金规模,成立日期,跟踪指数,基金公司
510300,沪深300ETF,,4076.67361317,,,
510310,沪深300ETF易方达,,2893.21869778,,,
510330,沪深300ETF华夏,,2139.34655476,,,
159919,沪深300ETF,,1870.21983981,,,
510050,上证50ETF,,1808.27815931,,,
510500,中证500ETF,,1307.51783177,,,
159915,创业板ETF,,1020.13833815,,,
159792,港股通互联网ETF,,773.20563548,,,
512100,中证1000ETF,,740.16541472,,,
588000,科创50ETF,,712.4480154,,,
588080,科创板50ETF,,678.01594376,,,
511990,华宝添益ETF,,664.52986214,,,
511880,银华日利ETF,,603.28768817,,,
518880,黄金ETF,,597.83040704,,,
159845,中证1000ETF,,422.39282112,,,
512880,证券ETF,,389.47947897,,,
513180,恒生科技指数ETF,,365.59474991,,,
513050,中概互联网ETF,,358.19355556,,,
513130,恒生科技ETF,,337.94647527,,,
588200,科创芯片ETF,,333.09596129,,,
560010,中证1000ETF指数,,329.62397265,,,
159636,港股通科技30ETF,,313.94926287,,,
159937,黄金ETF基金,,296.15164546,,,
512000,券商ETF,,277.36879967,,,
159941,纳指ETF,,276.00730793,,,
513330,恒生互联网ETF,,273.54313113,,,
159949,创业板50ETF,,272.68517896,,,
512170,医疗ETF,,269.36573198,,,
513090,香港证券ETF,,264.59393396,,,
159995,芯片ETF,,259.77350342,,,
159934,黄金ETF,,254.82261374,,,
512480,半导体ETF,,232.10310344,,,
159819,人工智能ETF,,225.98576882,,,
510180,上证180ETF,,219.68153152,,,
513500,标普500ETF,,214.66731878,,,
512890,红利低波ETF,,206.66861985,,,
513120,港股创新药ETF,,206.50210627,,,
563360,A500ETF华泰柏瑞,,202.661434,,,
159570,港股通创新药ETF,,201.18816579,,,
512010,医药ETF,,199.03879452,,,
513980,港股科技50ETF,,195.83196787,,,
159338,中证A500ETF,,192.69966975,,,
159361,A500ETF易方达,,192.26410237,,,
510880,红利ETF,,179.6042146,,,
513750,港股通非银ETF,,179.04349469,,,
159352,A500ETF南方,,176.6073773,,,
518800,黄金基金ETF,,174.31312905,,,
512690,酒ETF,,167.14179127,,,
562500,机器人ETF,,167.08230335,,,
513100,纳指ETF,,159.23680123,,,
159920,恒生ETF,,159.18928237,,,
512050,A500ETF基金,,158.97847644,,,
563800,A500ETF龙头,,158.58000098,,,
512500,中证500ETF华夏,,156.73603971,,,
159928,消费ETF,,156.00695785,,,
513010,恒生科技ETF易方达,,149.55468317,,,
515790,光伏ETF,,148.92555829,,,
512660,军工ETF,,144.34007205,,,
159870,化工ETF,,142.39383639,,,
512800,银行ETF,,136.25108986,,,
512710,军工龙头ETF,,134.11231797,,,
515450,红利低波50ETF,,131.95349082,,,
159740,恒生科技ETF,,128.15171325,,,
159952,创业板ETF广发,,125.0382344,,,
159629,1000ETF,,124.37964143,,,
159922,中证500ETF,,122.67293955,,,
513630,港股红利指数ETF,,122.36328818,,,
159509,纳指科技ETF,,120.16536466,,,
159351,A500ETF嘉实,,116.77336965,,,
588050,科创ETF,,114.33927404,,,
512760,芯片ETF,,113.57393696,,,
159992,创新药ETF,,110.64348494,,,
512070,证券保险ETF,,103.74197711,,,
513300,纳斯达克ETF,,102.15937292,,,
563220,中证A500ETF富国,,102.1047569,,,
159781,科创创业ETF,,100.94555758,,,
159851,金融科技ETF,,99.51876485,,,
511660,货币ETF建信添益,,97.8615248,,,
515220,煤炭ETF,,95.94741569,,,
159977,创业板ETF天弘,,93.20567196,,,
159632,纳斯达克ETF,,93.17534175,,,
515330,沪深300ETF天弘,,89.49238834,,,
510900,H股ETF,,88.09584442,,,
515180,红利ETF易方达,,87.90324616,,,
510810,上海国企ETF,,83.19930911,,,
515050,5G通信ETF,,79.62858803,,,
588790,科创AIETF,,79.26205712,,,
159770,机器人ETF,,78.12431632,,,
513060,恒生医疗ETF,,77.60083231,,,
512400,有色金属ETF,,76.5542242,,,
159869,游戏ETF,,74.06648016,,,
159501,纳指ETF嘉实,,74.05659113,,,
159841,证券ETF,,73.47981609,,,
159353,中证A500ETF景顺,,73.05333851,,,
512680,军工ETF龙头,,72.87714757,,,
159901,深证100ETF,,71.67316878,,,
515080,中证红利ETF,,71.3478437,,,
159938,医药卫生ETF,,68.8570374,,,
513380,恒生科技ETF龙头,,68.70150171,,,
517520,黄金股ETF,,67.13338248,,,
512900,证券ETF南方,,66.9569046,,,
159691,港股红利ETF,,66.24473378,,,
515880,通信ETF,,64.78125651,,,
159567,港股创新药ETF,,64.74365504,,,
515070,人工智能AIETF,,64.70062218,,,
512200,房地产ETF,,64.31814577,,,
159530,机器人ETF易方达,,62.7936673,,,
159755,电池ETF,,61.04876772,,,
513260,恒生科技ETF基金,,60.09002661,,,
588220,科创100ETF基金,,59.72007085,,,
560530,中证A500ETF摩根,,58.90944098,,,
516150,稀土ETF嘉实,,58.888511,,,
159593,中证A50指数ETF,,58.79964569,,,
512670,国防ETF,,58.49175764,,,
588030,科创100指数ETF,,58.45819755,,,
588060,科创50ETF龙头,,58.22809175,,,
159513,纳斯达克100指数ETF,,58.04981393,,,
159659,纳斯达克100ETF,,57.52339315,,,
512950,央企改革ETF,,57.4011335,,,
515290,银行ETF天弘,,57.22009852,,,
510360,沪深300ETF基金,,56.99881361,,,
560610,A500指数ETF,,55.87184316,,,
515800,800ETF,,55.27985999,,,
159217,港股通创新药ETF工银,,54.88190682,,,
159892,恒生医药ETF,,54.00032901,,,
512960,央企结构调整ETF,,53.80403549,,,
159736,食品饮料ETF天弘,,53.41208621,,,
159842,券商ETF,,52.30339412,,,
159948,创业板ETF南方,,51.03693164,,,
588090,科创板ETF,,50.93839291,,,
516160,新能源ETF,,50.70284996,,,
515300,300红利低波ETF,,50.22660024,,,
515100,红利低波100ETF,,49.73642092,,,
159852,软件ETF,,49.56297984,,,
515030,新能源车ETF,,49.34090624,,,
159783,科创创业50ETF,,48.63946029,,,
159605,中概互联ETF,,48.44385896,,,
159682,创业50ETF,,48.40724503,,,
510230,金融ETF,,47.3920408,,,
515660,沪深300ETF国联安,,47.32123649,,,
510100,上证50ETF易方达,,47.19410662,,,
159883,医疗器械ETF,,47.04292384,,,
159813,半导体ETF,,46.99711142,,,
159363,创业板人工智能ETF华宝,,46.79270627,,,
515120,创新药ETF,,46.53355438,,,
513690,港股红利ETF博时,,46.4417664,,,
518850,黄金ETF华夏,,45.59519555,,,
159766,旅游ETF,,45.2170156,,,
520990,港股央企红利50ETF,,45.08687234,,,
513660,恒生ETF,,44.64524298,,,
159201,自由现金流ETF,,44.28536978,,,
159865,养殖ETF,,43.98138268,,,
560050,MSCI中国A50ETF,,43.26214358,,,
510210,上证指数ETF,,42.81121755,,,
159549,红利低波ETF天弘,,42.21366046,,,
159967,创业板成长ETF,,41.79215574,,,
159732,消费电子ETF,,41.41749915,,,
513770,港股互联网ETF,,41.15515323,,,
515980,人工智能ETF,,40.66060905,,,
563880,中证A500指数ETF,,40.63875925,,,
511160,国债ETF东财,,40.51164828,,,
159801,芯片ETF龙头,,40.41943407,,,
159545,恒生红利低波ETF,,40.41599156,,,
159611,电力ETF,,39.8860671,,,
588750,科创芯片50ETF,,39.74000856,,,
588190,科创100ETF,,39.26410041,,,
515170,食品饮料ETF,,38.38417217,,,
516780,稀土ETF,,38.05758199,,,
510350,沪深300ETF工银,,38.05487144,,,
560510,中证A500ETF,,37.77291101,,,
515380,沪深300ETF泰康,,37.5049864,,,
159339,A500ETF,,36.88527793,,,
159262,港股通科技ETF,,36.86993335,,,
563000,中国A50ETF,,36.21888278,,,
159623,成渝经济圈ETF,,36.06150338,,,
159925,沪深300ETF南方,,35.2864965,,,
512290,生物医药ETF,,35.26820272,,,
159660,纳指100ETF,,35.17348686,,,
513910,港股央企红利ETF,,35.14867628,,,
515900,央企创新驱动ETF,,34.58115199,,,
159506,港股通医疗ETF富国,,34.40130789,,,
159780,双创ETF,,34.38697501,,,
159998,计算机ETF,,34.20921887,,,
513110,纳斯达克100ETF,,34.1324013,,,
518680,金ETF,,34.03183748,,,
513860,港股通科技ETF,,33.989637,,,
515000,科技ETF,,33.9238294,,,
159399,现金流ETF,,33.86544458,,,
513390,纳指100ETF,,33.82615533,,,
518660,黄金ETF基金,,33.7446894,,,
513920,港股通央企红利ETF,,33.43888676,,,
588180,科创50ETF基金,,33.40241835,,,
513190,港股通金融ETF,,32.8597248,,,
159742,恒生科技指数ETF,,32.69400284,,,
513650,标普500ETF南方,,32.67163238,,,
513820,港股红利ETF基金,,32.08575415,,,
513580,恒生科技ETF指数基金,,31.96344618,,,
588290,科创芯片ETF基金,,31.94035933,,,
159696,纳指ETF易方达,,31.63187722,,,
159655,标普ETF,,31.22249449,,,
513950,恒生红利ETF,,31.13488041,,,
520980,港股通科技ETF汇添富,,30.80061514,,,
515210,钢铁ETF,,30.38832038,,,
159595,中证A50ETF基金,,30.09578259,,,
159859,生物医药ETF,,29.82431868,,,
517300,沪港深300ETF,,29.78053874,,,
159516,半导体设备ETF,,29.7744768,,,
512020,A500ETF指数,,29.54504673,,,
510580,中证500ETF易方达,,29.41718253,,,
512980,传媒ETF,,29.22002273,,,
