ETF代码,ETF名称,基金规模,next_crawl_index
563380,航空航天ETF,8.9836855,763
513310,中韩半导体ETF,58.4200151,763
159227,航空航天ETF,35.27508931,763
159208,航空航天ETF万家,3.5229534,763
159241,航空航天ETF天弘,9.95937557,763
512710,军工龙头ETF,102.25242648,763
513520,日经ETF,21.40315879,763
159267,航天ETF,18.53454203,763
588520,科创增强ETF,0.24536779,763
159327,半导体设备ETF万家,11.36720052,763
588170,科创半导体ETF,82.5627139,763
159558,半导体设备ETF易方达,51.05711621,763
516620,影视ETF,7.9261894,763
589020,科创半导体设备ETF鹏华,6.25275372,763
513880,日经225ETF,23.7946501,763
588710,科创半导体设备ETF,17.7158511,763
513580,恒生科技ETF指数,54.96015852,763
562590,半导体设备ETF华夏,27.24128616,763
159516,半导体设备ETF,220.18056792,763
159131,港股信息技术ETF,2.8725879,763
560780,半导体设备ETF广发,39.50286432,763
588550,科创综指增强ETF易方达,1.0597006,763
561980,半导体设备ETF,35.4758187,763
159855,影视ETF,8.32114764,763
159582,半导体ETF博时,3.74277404,763
513030,德国ETF,18.91961077,763
159272,机器人ETF富国,26.42908265,763
159638,高端装备ETF嘉实,17.41808413,763
561370,中证2000ETF国泰,0.34674156,763
512670,国防ETF,27.05459176,763
159688,恒生互联网ETF,15.68411391,763
159530,机器人ETF易方达,176.6743965,763
159985,豆粕ETF,28.09448128,763
560660,云计算50ETF新华,1.40231963,763
159278,机器人ETF鹏华,15.38544547,763
513260,恒生科技ETF汇添富,74.58522161,763
588670,科创综指增强ETF嘉实,0.80015744,763
513000,日经225ETF易方达,19.50218083,763
512810,军工ETF华宝,7.68481813,763
159100,巴西ETF,4.29061006,763
512560,军工ETF易方达,7.37270593,763
562380,央企科技ETF银华,0.76262102,763
159231,通用航空ETF华宝,2.12467391,763
515550,中证500ETF国联,0.17476459,763
159559,机器人50ETF,33.03334762,763
563050,央企科技ETF易方达,1.54558206,763
512680,军工ETF广发,57.33511216,763
560770,机器人指数ETF,21.57262319,763
159612,标普500ETF,8.39523764,763
563210,专精特新ETF,2.09036647,763
560170,央企科技ETF南方,11.96618857,763
512660,军工ETF,100.4299483,763
159866,日经ETF工银,10.55968322,763
159255,通用航空ETF易方达,0.54905369,763
513080,法国CAC40ETF,11.3426748,763
159392,航空ETF,2.3206672,763
159213,机器人ETF汇添富,7.82057789,763
589230,科创人工智能ETF南方,4.34420114,763
159551,机器人ETF国泰,5.09489299,763
159385,数字经济ETF富国,1.54245934,763
516920,芯片ETF汇添富,7.543212,763
516640,芯片龙头ETF,14.95214532,763
159257,航空ETF汇添富,1.71538759,763
159325,半导体ETF南方,3.49154016,763
159735,港股消费ETF银华,9.32664538,763
589190,科创芯片ETF华宝,13.1587514,763
589110,科创人工智能ETF国泰,6.94464397,763
159526,机器人ETF嘉实,12.35483403,763
159520,消费龙头ETF工银,1.75745643,763
560710,船舶ETF,12.011606,763
159613,信息安全ETF嘉实,0.64097697,763
512480,半导体ETF,226.08960826,763
159258,机器人ETF南方,19.61337985,763
560630,机器人ETF万家,2.26894012,763
562360,机器人ETF银华,4.31915106,763
588930,科创人工智能ETF银华,16.64904833,763
159813,半导体ETF,63.99666318,763
159995,芯片ETF,276.1309626,763
589090,科创AIETF鹏华,2.00308647,763
159529,标普消费ETF,9.47426615,763
