代码,名称,所属板块,流通市值,总市值,数据状态,动态市盈率,filter,next_crawl_index,质押股数
600004,白云机场,沪市主板,22838831431.00,24870410371.00,基础数据已获取,0.00,False,0,0.00
600006,东风股份,沪市主板,14480000000.00,14480000000.00,基础数据已获取,0.00,False,0,0.00
600007,中国国贸,沪市主板,20206087632.00,20206087632.00,基础数据已获取,0.00,False,0,0.00
600008,首创环保,沪市主板,22609019285.00,22609019285.00,基础数据已获取,0.00,False,0,0.00
600009,上海机场,沪市主板,64150862795.00,78008613804.00,基础数据已获取,0.00,False,0,0.00
600012,皖通高速,沪市主板,16376680000.00,24005716040.00,基础数据已获取,0.00,False,0,0.00
600017,日照港,沪市主板,9565283592.00,9565283592.00,基础数据已获取,0.00,False,0,0.00
600018,上港集团,沪市主板,117860862035.00,118029399755.00,基础数据已获取,0.00,False,0,0.00
600020,中原高速,沪市主板,9821014906.00,9821014906.00,基础数据已获取,0.00,False,0,0.00
600021,上海电力,沪市主板,67145391691.00,67145391691.00,基础数据已获取,0.00,False,0,0.00
600022,山东钢铁,沪市主板,17546113269.00,17546113269.00,基础数据已获取,0.00,False,0,0.00
600023,浙能电力,沪市主板,66373227108.00,66373227108.00,基础数据已获取,0.00,False,0,0.00
600025,华能水电,沪市主板,163800000000.00,169542957739.00,基础数据已获取,0.00,False,0,0.00
600026,中远海能,沪市主板,49619806921.00,78043353581.00,基础数据已获取,0.00,False,0,0.00
600027,华电国际,沪市主板,42551637665.00,58058870920.00,基础数据已获取,0.00,False,0,0.00
600028,中国石化,沪市主板,582727723556.00,743691912465.00,基础数据已获取,0.00,False,0,0.00
600029,南方航空,沪市主板,103502781903.00,139168681229.00,基础数据已获取,0.00,False,0,0.00
600030,中信证券,沪市主板,338142820548.00,411566585441.00,基础数据已获取,0.00,False,0,0.00
600032,浙江新能,沪市主板,19501916878.00,19501916878.00,基础数据已获取,0.00,False,0,0.00
600033,福建高速,沪市主板,10511052000.00,10511052000.00,基础数据已获取,0.00,False,0,0.00
600035,楚天高速,沪市主板,6424362445.00,6424362445.00,基础数据已获取,0.00,False,0,0.00
600037,歌华有线,沪市主板,11203811966.00,11203811966.00,基础数据已获取,0.00,False,0,0.00
600038,中直股份,沪市主板,25653665725.00,31442904719.00,基础数据已获取,0.00,False,0,0.00
600039,四川路桥,沪市主板,86781994637.00,86781994637.00,基础数据已获取,0.00,False,0,0.00
600054,黄山旅游,沪市主板,6103137000.00,8672321542.00,基础数据已获取,0.00,False,0,0.00
600055,万东医疗,沪市主板,11734089058.00,11734089058.00,基础数据已获取,0.00,False,0,4.66
600056,中国医药,沪市主板,16060074874.00,16065748494.00,基础数据已获取,0.00,False,0,0.00
600057,厦门象屿,沪市主板,17577085378.00,23860950448.00,基础数据已获取,0.00,False,0,0.00
600058,五矿发展,沪市主板,16657492449.00,16657492449.00,基础数据已获取,0.00,False,0,0.00
600059,古越龙山,沪市主板,8522921562.00,8522921562.00,基础数据已获取,0.00,False,0,0.00
600060,海信视像,沪市主板,32179175845.00,32298063287.00,基础数据已获取,0.00,False,0,0.00
600061,国投资本,沪市主板,48786095913.00,48786095913.00,基础数据已获取,0.00,False,0,0.00
600062,华润双鹤,沪市主板,19337346120.00,19445540568.00,基础数据已获取,0.00,False,0,0.00
600064,南京高科,沪市主板,15607663589.00,15607663589.00,基础数据已获取,0.00,False,0,0.00
600066,宇通客车,沪市主板,68477140167.00,68477140167.00,基础数据已获取,0.00,False,0,0.00
600071,凤凰光学,沪市主板,6304439375.00,6304439375.00,基础数据已获取,0.00,False,0,0.00
600072,中船科技,沪市主板,13075881404.00,18136675494.00,基础数据已获取,0.00,False,0,0.00
