ETF代码,ETF名称,市场价格,IOPV,折溢价率,净值时间,计算时间
159509,纳指科技ETF,1.86,1.7112,-8.7,2025-09-04 13:53:18+08:00,2025-09-04 13:52:56
159502,标普生物科技ETF,0.993,0.9873,-0.58,2025-09-04 13:53:09+08:00,2025-09-04 13:52:56
513880,日经225ETF,1.486,1.4703,-1.07,2025-09-04 13:53:05+08:00,2025-09-04 13:52:56
513520,日经ETF,1.595,1.5844,-0.67,2025-09-04 13:53:04+08:00,2025-09-04 13:52:56
159766,旅游ETF,0.717,0.7164,-0.08,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
159857,光伏ETF,0.718,0.7175,-0.07,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
515790,光伏ETF,0.849,0.8491,0.01,2025-09-04 13:53:05+08:00,2025-09-04 13:52:56
516880,光伏50ETF,0.714,0.7154,0.2,2025-09-04 13:53:02+08:00,2025-09-04 13:52:56
159865,养殖ETF,0.637,0.6382,0.19,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
159660,纳指100ETF,1.828,1.818,-0.55,2025-09-04 13:53:12+08:00,2025-09-04 13:52:56
513850,美国50ETF,1.512,1.507,-0.33,2025-09-04 13:53:03+08:00,2025-09-04 13:52:56
159513,纳斯达克100指数ETF,1.404,1.3973,-0.48,2025-09-04 13:53:03+08:00,2025-09-04 13:52:56
159941,纳指ETF,1.263,1.252,-0.88,2025-09-04 13:53:12+08:00,2025-09-04 13:52:56
513500,标普500ETF,2.188,2.1672,-0.96,2025-09-04 13:53:05+08:00,2025-09-04 13:52:56
159501,纳指ETF嘉实,1.571,1.5621,-0.57,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
159659,纳斯达克100ETF,1.801,1.7922,-0.49,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
512800,银行ETF,0.834,0.8339,-0.01,2025-09-04 13:53:05+08:00,2025-09-04 13:52:56
159655,标普ETF,1.674,1.6738,-0.01,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
516160,新能源ETF,2.341,2.3389,-0.09,2025-09-04 13:53:04+08:00,2025-09-04 13:52:56
513390,纳指100ETF,1.928,1.8675,-3.24,2025-09-04 13:53:04+08:00,2025-09-04 13:52:56
159696,纳指ETF易方达,1.555,1.5465,-0.55,2025-09-04 13:52:57+08:00,2025-09-04 13:52:56
516310,银行ETF易方达,1.373,1.3734,0.03,2025-09-04 13:53:05+08:00,2025-09-04 13:52:56
159632,纳斯达克ETF,1.898,1.8912,-0.36,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
512820,银行ETF龙头,1.462,1.4629,0.06,2025-09-04 13:53:05+08:00,2025-09-04 13:52:56
512880,证券ETF,1.255,1.2539,-0.09,2025-09-04 13:53:06+08:00,2025-09-04 13:52:56
513030,德国ETF,1.84,1.8135,-1.46,2025-09-04 13:53:05+08:00,2025-09-04 13:52:56
513300,纳斯达克ETF,2.094,2.09,-0.19,2025-09-04 13:53:04+08:00,2025-09-04 13:52:56
159887,银行ETF,1.356,1.3565,0.04,2025-09-04 13:53:12+08:00,2025-09-04 13:52:56
513110,纳斯达克100ETF,1.93,1.9196,-0.54,2025-09-04 13:53:04+08:00,2025-09-04 13:52:56
512000,券商ETF,0.6,0.5994,-0.1,2025-09-04 13:53:10+08:00,2025-09-04 13:52:56
513100,纳指ETF,1.681,1.6665,-0.87,2025-09-04 13:53:03+08:00,2025-09-04 13:52:56
159790,碳中和ETF,0.664,0.6652,0.18,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
515290,银行ETF天弘,1.493,1.4938,0.05,2025-09-04 13:53:05+08:00,2025-09-04 13:52:56
159842,券商ETF,1.19,1.188,-0.17,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
512700,银行ETF南方,1.683,1.6859,0.17,2025-09-04 13:53:05+08:00,2025-09-04 13:52:56
159611,电力ETF,1.004,1.0049,0.09,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
515220,煤炭ETF,1.04,1.0396,-0.04,2025-09-04 13:53:06+08:00,2025-09-04 13:52:56
513400,道琼斯ETF,1.167,1.163,-0.34,2025-09-04 13:53:04+08:00,2025-09-04 13:52:56
159745,建材ETF,0.63,0.6309,0.14,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
510880,红利ETF,3.156,3.1576,0.05,2025-09-04 13:53:09+08:00,2025-09-04 13:52:56
512900,证券ETF南方,1.24,1.2405,0.04,2025-09-04 13:53:06+08:00,2025-09-04 13:52:56
510230,金融ETF,1.381,1.3812,0.01,2025-09-04 13:53:07+08:00,2025-09-04 13:52:56
159552,中证2000增强ETF,1.908,1.9074,-0.03,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
515010,券商ETF基金,1.435,1.4344,-0.04,2025-09-04 13:53:05+08:00,2025-09-04 13:52:56
159841,证券ETF,1.137,1.1368,-0.02,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
511850,财富宝ETF,100.024,,,2025-09-04 13:53:09+08:00,2025-09-04 13:52:56
159001,货币ETF,99.999,,,2025-09-04 13:53:21+08:00,2025-09-04 13:52:56
511160,国债ETF东财,100.498,,,2025-09-04 13:52:44+08:00,2025-09-04 13:52:56
563020,红利低波动ETF,1.229,1.2303,0.11,2025-09-04 13:52:58+08:00,2025-09-04 13:52:56
511990,华宝添益ETF,100.009,,,2025-09-04 13:53:07+08:00,2025-09-04 13:52:56
511660,货币ETF建信添益,100.018,,,2025-09-04 13:53:05+08:00,2025-09-04 13:52:56
511880,银华日利ETF,100.868,,,2025-09-04 13:53:08+08:00,2025-09-04 13:52:56
513090,香港证券ETF,2.194,2.1885,-0.25,2025-09-04 13:53:04+08:00,2025-09-04 13:52:56
515100,红利低波100ETF,1.533,1.5331,0.01,2025-09-04 13:53:06+08:00,2025-09-04 13:52:56
515450,红利低波50ETF,1.411,1.4124,0.1,2025-09-04 13:53:04+08:00,2025-09-04 13:52:56
159561,德国ETF,1.332,1.3254,-0.5,2025-09-04 13:53:18+08:00,2025-09-04 13:52:56
512890,红利低波ETF,1.186,1.186,0.0,2025-09-04 13:53:05+08:00,2025-09-04 13:52:56
