ETF代码,ETF名称,市场价格,IOPV,折溢价率,净值时间,计算时间,timestamp
517390,云计算ETF沪港深,1.851,1.8449,-0.33,2025-09-25 10:59:17+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159890,云计算ETF,1.761,1.7552,-0.33,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
560660,云50ETF,1.987,1.9854,-0.08,2025-09-25 10:59:14+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
516700,大数据产业ETF,1.151,1.1467,-0.37,2025-09-25 10:59:18+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159738,云计算ETF华泰柏瑞,1.957,1.9517,-0.27,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
516630,云计算50ETF,1.68,1.6786,-0.08,2025-09-25 10:59:19+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159739,大数据ETF,1.652,1.6498,-0.13,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
516510,云计算ETF,1.729,1.7274,-0.09,2025-09-25 10:59:18+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
516000,数据ETF,1.183,1.1798,-0.27,2025-09-25 10:59:18+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159527,云计算ETF广发,2.191,2.191,0.0,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
562030,信创ETF基金,0.595,0.5934,-0.27,2025-09-25 10:59:16+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159273,云计算ETF汇添富,1.386,1.3884,0.17,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
560850,信创50ETF,1.577,1.5769,-0.01,2025-09-25 10:59:15+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
515400,大数据ETF,1.091,1.0908,-0.02,2025-09-25 10:59:19+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159388,创业板人工智能ETF国泰,1.856,1.8558,-0.01,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159246,创业板人工智能ETF富国,1.714,1.713,-0.06,2025-09-25 10:59:33+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
562570,信创ETF,1.551,1.5493,-0.11,2025-09-25 10:59:14+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
