日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,股票名称,前收盘,复权状态,交易状态,动态市盈率,动态市现率,动态市净率
2022-03-11,524,9.46,9.57,9.9,9.07,23297784,222959792.88,9.15,-3.33,-0.33,0.0,524,9.9,不复权,正常交易,,,
2022-03-14,524,9.46,8.83,9.77,8.83,16061690,141824722.7,10.65,-7.73,-0.74,0.0,524,9.57,不复权,正常交易,,,
2022-03-15,524,8.92,9.71,9.71,8.92,14643592,142189278.32,8.86,9.97,0.88,0.0,524,8.83,不复权,正常交易,,,
2022-03-16,524,10.68,10.68,10.68,10.68,8020788,85662015.84,0.0,9.99,0.97,0.0,524,9.71,不复权,正常交易,,,
2022-03-17,524,11.75,11.75,11.75,11.75,8507900,99967825.0,0.0,10.02,1.07,0.0,524,10.68,不复权,正常交易,,,
2022-03-18,524,12.09,12.93,12.93,12.0,37051969,479081959.17,7.75,10.04,1.18,0.0,524,11.75,不复权,正常交易,,,
2022-03-21,524,13.75,14.22,14.22,12.67,40884929,581383690.38,12.23,9.98,1.29,0.0,524,12.93,不复权,正常交易,,,
2022-03-22,524,14.01,12.98,15.64,12.85,75364625,978232832.5,21.71,-8.72,-1.24,0.0,524,14.22,不复权,正常交易,,,
2022-03-23,524,13.0,12.25,13.58,12.0,61623948,754893363.0,13.17,-5.62,-0.73,0.0,524,12.98,不复权,正常交易,,,
2022-03-24,524,11.78,12.14,12.49,11.58,45676945,554518112.3,7.86,-0.9,-0.11,0.0,524,12.25,不复权,正常交易,,,
2022-03-25,524,12.02,11.3,12.49,11.2,44554746,503468629.8,11.52,-6.92,-0.84,0.0,524,12.14,不复权,正常交易,,,
2022-03-28,524,11.3,11.2,11.89,11.0,36638314,410349116.8,8.09,-0.88,-0.1,0.0,524,11.3,不复权,正常交易,,,
2022-03-29,524,11.21,10.81,11.59,10.76,33304611,360022844.91,7.71,-3.48,-0.39,0.0,524,11.2,不复权,正常交易,,,
2022-03-30,524,10.86,11.14,11.15,10.58,27468904,306003590.56,5.39,3.05,0.33,0.0,524,10.81,不复权,正常交易,,,
2022-03-31,524,11.0,11.4,11.78,10.95,38380336,437535830.4,7.58,2.33,0.26,0.0,524,11.14,不复权,正常交易,,,
2022-04-01,524,11.28,12.54,12.54,11.28,39771986,498740704.44,11.17,10.0,1.14,0.0,524,11.4,不复权,正常交易,,,
2022-04-06,524,12.54,12.75,12.86,11.85,55867934,712316158.5,8.52,1.67,0.21,0.0,524,12.54,不复权,正常交易,,,
2022-04-07,524,12.36,11.86,12.48,11.66,35350191,419253265.26,7.03,-6.98,-0.89,0.0,524,12.75,不复权,正常交易,,,
2022-04-08,524,11.85,12.18,12.18,11.1,36695542,446951701.56,9.73,2.7,0.32,0.0,524,11.86,不复权,正常交易,,,
2022-04-11,524,12.0,12.64,13.29,11.8,46957285,593540082.4,12.63,3.78,0.46,0.0,524,12.18,不复权,正常交易,,,
2022-04-12,524,12.28,13.9,13.9,12.01,64128645,891388165.5,15.74,9.97,1.26,0.0,524,12.64,不复权,正常交易,,,
2022-04-13,524,13.22,12.51,13.95,12.51,51249510,641131370.1,11.51,-10.0,-1.39,0.0,524,13.9,不复权,正常交易,,,
2022-04-14,524,11.78,11.63,12.32,11.3,36695740,426771456.2,9.03,-7.03,-0.88,0.0,524,12.51,不复权,正常交易,,,
2022-04-15,524,11.5,10.92,11.97,10.6,33898214,370168496.88,12.92,-6.1,-0.71,0.0,524,11.63,不复权,正常交易,,,
2022-04-18,524,10.79,10.65,11.18,10.5,24136399,257052649.35,6.48,-2.47,-0.27,0.0,524,10.92,不复权,正常交易,,,
2022-04-19,524,10.69,10.48,10.94,10.3,23320400,244397792.0,6.21,-1.6,-0.17,0.0,524,10.65,不复权,正常交易,,,
2022-04-20,524,10.46,11.1,11.17,10.27,36606010,406326711.0,8.76,5.92,0.62,0.0,524,10.48,不复权,正常交易,,,
2022-04-21,524,10.88,9.99,10.94,9.99,26475902,264494260.98,9.51,-10.0,-1.11,0.0,524,11.1,不复权,正常交易,,,
2022-04-22,524,9.77,9.13,9.77,9.05,26609875,242948158.75,7.96,-8.61,-0.86,0.0,524,9.99,不复权,正常交易,,,
2022-04-25,524,8.85,8.92,9.46,8.67,22908918,204347548.56,9.11,-2.3,-0.21,0.0,524,9.13,不复权,正常交易,,,
2022-04-26,524,9.22,9.12,9.66,8.96,25358500,231269520.0,7.81,2.24,0.2,0.0,524,8.92,不复权,正常交易,,,
2022-04-27,524,8.26,9.22,9.23,8.26,25651183,236503907.26,11.74,1.1,0.1,0.0,524,9.12,不复权,正常交易,,,
2022-04-28,524,9.01,8.66,9.13,8.46,20452232,177116329.12,7.92,-6.07,-0.56,0.0,524,9.22,不复权,正常交易,,,
2022-04-29,524,8.88,8.97,9.13,8.66,18143832,162750173.04,5.43,3.58,0.31,0.0,524,8.66,不复权,正常交易,,,
2022-05-05,524,8.88,8.69,8.9,8.45,17587606,152836296.14,5.33,-3.12,-0.28,0.0,524,8.97,不复权,正常交易,,,
2022-05-06,524,8.41,8.08,8.49,8.01,18881750,152564540.0,5.99,-7.02,-0.61,0.0,524,8.69,不复权,正常交易,,,
2022-05-09,524,8.3,8.89,8.89,8.21,17231612,153189030.68,8.28,10.02,0.81,0.0,524,8.08,不复权,正常交易,,,
2022-05-10,524,8.74,9.12,9.56,8.73,32755946,298734227.52,9.51,2.59,0.23,0.0,524,8.89,不复权,正常交易,,,
2022-05-11,524,9.31,9.4,9.95,9.18,32317600,303785440.0,8.39,3.07,0.28,0.0,524,9.12,不复权,正常交易,,,
2022-05-12,524,9.15,9.58,9.61,9.15,21259464,203665665.12,5.03,1.91,0.18,0.0,524,9.4,不复权,正常交易,,,
2022-05-13,524,9.46,9.42,9.51,9.09,20900100,196878942.0,4.62,-1.67,-0.16,0.0,524,9.58,不复权,正常交易,,,
2022-05-16,524,9.51,9.61,9.87,9.28,24777858,238115215.38,6.36,2.02,0.19,0.0,524,9.42,不复权,正常交易,,,
2022-05-17,524,9.56,9.66,9.78,9.2,19070109,184217252.94,6.3,0.52,0.05,0.0,524,9.61,不复权,正常交易,,,
2022-05-18,524,9.6,9.52,9.99,9.45,21070356,200589789.12,5.71,-1.45,-0.14,0.0,524,9.66,不复权,正常交易,,,
2022-05-19,524,9.2,9.58,9.86,9.15,17367343,166379145.94,7.76,0.63,0.06,0.0,524,9.52,不复权,正常交易,,,
2022-05-20,524,9.6,9.68,9.93,9.44,20266345,196178219.6,5.19,1.04,0.1,0.0,524,9.58,不复权,正常交易,,,
2022-05-23,524,9.59,9.83,9.88,9.45,18001654,176956258.82,4.55,1.55,0.15,0.0,524,9.68,不复权,正常交易,,,
2022-05-24,524,9.79,9.81,10.53,9.6,29823201,292565601.81,9.69,-0.2,-0.02,0.0,524,9.83,不复权,正常交易,,,
2022-05-25,524,9.87,10.15,10.23,9.53,29571592,300151658.8,7.35,3.47,0.34,0.0,524,9.81,不复权,正常交易,,,
2022-05-26,524,10.05,9.98,10.39,9.62,24397400,243486052.0,8.0,-1.67,-0.17,0.0,524,10.15,不复权,正常交易,,,
2022-05-27,524,9.99,9.9,10.13,9.68,20393071,201891402.9,4.65,-0.8,-0.08,0.0,524,9.98,不复权,正常交易,,,
2022-05-30,524,10.01,10.19,10.35,9.85,26448434,269509542.46,5.08,2.93,0.29,0.0,524,9.9,不复权,正常交易,,,
2022-05-31,524,10.03,10.4,11.0,9.75,28427994,295651137.6,12.82,2.06,0.21,0.0,524,10.19,不复权,正常交易,,,
2022-06-01,524,10.4,11.1,11.44,10.29,54267447,602368661.7,11.18,6.73,0.7,0.0,524,10.4,不复权,正常交易,,,
2022-06-02,524,10.9,10.67,10.92,10.38,38857694,414611594.98,5.2,-3.87,-0.43,0.0,524,11.1,不复权,正常交易,,,
2022-06-06,524,10.62,10.65,10.85,10.27,21676815,230858079.75,5.65,-0.19,-0.02,0.0,524,10.67,不复权,正常交易,,,
2022-06-07,524,10.59,10.16,10.67,10.16,19008990,193131338.4,5.02,-4.6,-0.49,0.0,524,10.65,不复权,正常交易,,,
2022-06-08,524,10.3,10.23,10.34,9.89,16220552,165936246.96,4.55,0.69,0.07,0.0,524,10.16,不复权,正常交易,,,
2022-06-09,524,10.2,9.67,10.2,9.62,17377805,168043374.35,6.03,-5.47,-0.56,0.0,524,10.23,不复权,正常交易,,,
2022-06-10,524,9.67,10.19,10.44,9.67,24186741,246462890.79,7.96,5.38,0.52,0.0,524,9.67,不复权,正常交易,,,
2022-06-13,524,9.9,9.86,10.14,9.71,21386754,210873394.44,4.43,-3.24,-0.33,0.0,524,10.19,不复权,正常交易,,,
2022-06-14,524,9.75,10.1,10.35,9.55,22323342,225465754.2,8.38,2.43,0.24,0.0,524,9.86,不复权,正常交易,,,
2022-06-15,524,10.35,10.48,10.6,10.1,25998101,272460098.48,4.95,3.76,0.38,0.0,524,10.1,不复权,正常交易,,,
2022-06-16,524,10.35,10.52,10.79,10.29,18398834,193555733.68,4.86,0.38,0.04,0.0,524,10.48,不复权,正常交易,,,
2022-06-17,524,10.43,10.46,10.64,10.21,14701481,153777491.26,4.21,-0.57,-0.06,0.0,524,10.52,不复权,正常交易,,,
2022-06-20,524,10.46,10.76,10.88,10.34,17100971,184006447.96,5.22,2.87,0.3,0.0,524,10.46,不复权,正常交易,,,
2022-06-21,524,10.78,10.62,10.93,10.46,15178793,161198781.66,4.49,-1.3,-0.14,0.0,524,10.76,不复权,正常交易,,,
2022-06-22,524,10.54,10.65,11.01,10.47,16899007,179974424.55,5.16,0.28,0.03,0.0,524,10.62,不复权,正常交易,,,
2022-06-23,524,10.55,10.72,10.81,10.42,12071492,129406394.24,3.74,0.66,0.07,0.0,524,10.65,不复权,正常交易,,,
2022-06-24,524,10.7,11.25,11.35,10.62,24330090,273713512.5,6.87,4.94,0.53,0.0,524,10.72,不复权,正常交易,,,
2022-06-27,524,11.25,12.09,12.38,11.18,39240193,474413933.37,10.73,7.47,0.84,0.0,524,11.25,不复权,正常交易,,,
2022-06-28,524,11.85,12.94,13.15,11.68,39600967,512436512.98,12.59,7.03,0.85,0.0,524,12.09,不复权,正常交易,,,
2022-06-29,524,12.6,12.0,12.99,12.0,33175730,398108760.0,8.25,-7.26,-0.94,0.0,524,12.94,不复权,正常交易,,,
2022-06-30,524,12.48,12.4,12.93,12.17,29861043,370276933.2,6.24,3.33,0.4,0.0,524,12.0,不复权,正常交易,,,
2022-07-01,524,12.12,11.34,12.2,11.28,26143978,296472710.52,8.16,-8.55,-1.06,0.0,524,12.4,不复权,正常交易,,,
2022-07-04,524,11.22,11.08,11.45,11.05,13743619,152279298.52,3.62,-2.29,-0.26,0.0,524,11.34,不复权,正常交易,,,
2022-07-05,524,11.1,11.08,11.43,10.94,16260600,180167448.0,4.48,0.0,0.0,0.0,524,11.08,不复权,正常交易,,,
2022-07-06,524,11.04,10.55,11.15,10.4,17274008,182240784.4,7.21,-4.78,-0.53,0.0,524,11.08,不复权,正常交易,,,
2022-07-07,524,10.45,10.47,10.63,10.33,8573336,89762827.92,2.9,-0.76,-0.08,0.0,524,10.55,不复权,正常交易,,,
2022-07-08,524,10.86,10.53,10.99,10.5,11161500,117530595.0,4.67,0.57,0.06,0.0,524,10.47,不复权,正常交易,,,
2022-07-11,524,10.2,10.21,10.38,10.05,10236956,104519320.76,3.28,-3.04,-0.32,0.0,524,10.53,不复权,正常交易,,,
2022-07-12,524,10.22,9.97,10.29,9.97,7480782,74583396.54,3.21,-2.35,-0.24,0.0,524,10.21,不复权,正常交易,,,
2022-07-13,524,10.03,10.15,10.24,10.0,6854400,69572160.0,2.4,1.81,0.18,0.0,524,9.97,不复权,正常交易,,,
2022-07-14,524,10.06,10.08,10.21,9.95,6632511,66855710.88,2.61,-0.69,-0.07,0.0,524,10.15,不复权,正常交易,,,
2022-07-15,524,10.08,10.19,10.38,9.91,11315000,115299850.0,4.74,1.09,0.11,0.0,524,10.08,不复权,正常交易,,,
2022-07-18,524,10.0,10.2,10.29,9.82,8378100,85456620.0,4.79,0.1,0.01,0.0,524,10.19,不复权,正常交易,,,
2022-07-19,524,10.4,10.17,10.52,10.14,8621000,87675570.0,3.75,-0.29,-0.03,0.0,524,10.2,不复权,正常交易,,,
2022-07-20,524,10.07,10.25,10.47,10.01,9072600,92994150.0,4.6,0.79,0.08,0.0,524,10.17,不复权,正常交易,,,
2022-07-21,524,10.16,10.09,10.32,10.07,6484400,65427596.0,2.48,-1.56,-0.16,0.0,524,10.25,不复权,正常交易,,,
