日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-10-10,2926,8.64,8.19,8.81,8.05,736397,618271965.76,8.82,-4.99,-0.43,2.81
2024-10-11,2926,8.09,7.98,8.25,7.84,488484,397514664.55,5.01,-2.56,-0.21,1.86
2024-10-14,2926,7.99,8.03,8.08,7.68,454147,362150120.03,5.01,0.63,0.05,1.73
2024-10-15,2926,7.96,7.81,8.02,7.76,341719,272704796.9,3.24,-2.74,-0.22,1.3
2024-10-16,2926,7.72,8.6,8.6,7.71,1734719,1485604623.69,11.4,10.12,0.79,6.61
2024-10-17,2926,8.8,8.05,8.8,8.0,1634353,1370788749.99,9.3,-6.4,-0.55,6.23
2024-10-18,2926,7.98,8.37,8.8,7.77,1485366,1233490695.39,12.8,3.98,0.32,5.66
2024-10-21,2926,8.13,8.13,8.23,8.03,912246,748505326.09,2.39,-2.87,-0.24,3.48
2024-10-22,2926,8.1,8.12,8.17,8.05,528095,432354106.68,1.48,-0.12,-0.01,2.01
2024-10-23,2926,8.16,8.27,8.49,8.11,842366,705802547.22,4.68,1.85,0.15,3.21
2024-10-24,2926,8.19,8.21,8.34,8.11,492697,407811636.26,2.78,-0.73,-0.06,1.88
2024-10-25,2926,8.23,8.29,8.4,8.18,465517,389019946.7,2.68,0.97,0.08,1.77
2024-10-28,2926,8.27,8.42,8.62,8.19,647527,544586917.0,5.19,1.57,0.13,2.47
2024-10-29,2926,8.42,8.23,8.52,8.21,538648,454208929.9,3.68,-2.26,-0.19,2.05
2024-10-30,2926,8.19,8.19,8.28,8.08,371151,306488679.02,2.43,-0.49,-0.04,1.41
2024-10-31,2926,8.25,8.37,8.54,8.19,676444,574091975.59,4.27,2.2,0.18,2.58
2024-11-01,2926,8.4,8.25,8.5,8.22,528368,446642574.57,3.35,-1.43,-0.12,2.01
2024-11-04,2926,8.32,8.51,8.51,8.28,462092,392356840.7,2.79,3.15,0.26,1.76
2024-11-05,2926,8.5,8.88,8.97,8.42,776555,686780360.67,6.46,4.35,0.37,2.96
2024-11-06,2926,8.91,8.78,9.03,8.71,608227,543326387.28,3.6,-1.13,-0.1,2.32
2024-11-07,2926,8.64,9.19,9.31,8.61,751912,683028881.24,7.97,4.67,0.41,2.86
2024-11-08,2926,9.41,9.0,9.42,8.96,619842,571653365.22,5.01,-2.07,-0.19,2.36
2024-11-11,2926,8.9,8.93,9.0,8.83,414131,372227096.2,1.89,-0.78,-0.07,1.58
2024-11-12,2926,8.94,8.7,8.99,8.63,421062,374309209.1,4.03,-2.58,-0.23,1.6
2024-11-13,2926,8.67,8.77,8.79,8.58,295201,259030587.0,2.41,0.8,0.07,1.12
2024-11-14,2926,8.72,8.65,8.82,8.63,260461,229539205.56,2.17,-1.37,-0.12,0.99
2024-11-15,2926,8.65,8.37,8.72,8.36,356728,307428315.91,4.16,-3.24,-0.28,1.36
2024-11-18,2926,8.42,8.32,8.52,8.27,292853,248149383.62,2.99,-0.6,-0.05,1.12
2024-11-19,2926,8.35,8.42,8.45,8.27,222071,187492919.89,2.16,1.2,0.1,0.85
2024-11-20,2926,8.39,8.43,8.47,8.33,224833,190610374.08,1.66,0.12,0.01,0.86
2024-11-21,2926,8.45,8.5,8.57,8.36,308705,263636564.13,2.49,0.83,0.07,1.18
2024-11-22,2926,8.47,8.18,8.6,8.18,338212,287248377.72,4.94,-3.76,-0.32,1.29
2024-11-25,2926,8.24,8.22,8.26,8.1,197221,162824561.44,1.96,0.49,0.04,0.75
2024-11-26,2926,8.21,8.25,8.39,8.18,191033,159937917.48,2.55,0.36,0.03,0.73
2024-11-27,2926,8.23,8.41,8.41,8.17,194811,162969733.55,2.91,1.94,0.16,0.74
2024-11-28,2926,8.42,8.55,8.87,8.38,470993,410316478.59,5.83,1.66,0.14,1.79
2024-11-29,2926,8.55,8.76,8.84,8.45,496365,435101798.46,4.56,2.46,0.21,1.89
2024-12-02,2926,8.69,8.77,8.84,8.66,323183,285601015.86,2.05,0.11,0.01,1.23
2024-12-03,2926,8.76,8.75,8.8,8.6,270553,237047602.84,2.28,-0.23,-0.02,1.03
2024-12-04,2926,8.69,8.61,8.74,8.54,199351,174122843.66,2.29,-1.6,-0.14,0.76
2024-12-05,2926,8.57,8.64,8.67,8.49,298954,259270849.32,2.09,0.35,0.03,1.14
2024-12-06,2926,8.61,8.76,8.79,8.57,355184,312357480.2,2.55,1.39,0.12,1.35
2024-12-09,2926,8.72,8.66,8.79,8.59,208685,183005947.48,2.28,-1.14,-0.1,0.79
2024-12-10,2926,9.03,8.69,9.11,8.64,459955,410860916.01,5.43,0.35,0.03,1.75
2024-12-11,2926,8.67,8.7,8.75,8.64,188850,165819828.25,1.27,0.12,0.01,0.72
2024-12-12,2926,8.7,8.84,8.91,8.65,285497,253383314.15,2.99,1.61,0.14,1.09
2024-12-13,2926,8.78,8.73,8.97,8.64,349879,309360387.0,3.73,-1.24,-0.11,1.33
2024-12-16,2926,8.7,8.58,8.78,8.54,180211,156829415.58,2.75,-1.72,-0.15,0.69
2024-12-17,2926,8.54,8.54,8.61,8.44,254361,219084628.44,1.98,-0.47,-0.04,0.97
2024-12-18,2926,8.56,8.49,8.59,8.47,121369,104538040.63,1.41,-0.59,-0.05,0.46
2024-12-19,2926,8.44,8.47,8.51,8.36,151738,129172620.7,1.77,-0.24,-0.02,0.58
2024-12-20,2926,8.47,8.53,8.58,8.43,146518,126097774.76,1.77,0.71,0.06,0.56
2024-12-23,2926,8.48,8.4,8.58,8.37,156524,133827373.76,2.46,-1.52,-0.13,0.6
2024-12-24,2926,8.38,8.56,8.56,8.38,133224,114223589.9,2.14,1.9,0.16,0.51
2024-12-25,2926,8.54,8.52,8.56,8.39,141908,121490423.0,1.99,-0.47,-0.04,0.54
2024-12-26,2926,8.5,8.53,8.6,8.46,123560,106309469.0,1.64,0.12,0.01,0.47
2024-12-27,2926,8.52,8.61,8.74,8.51,203124,176900722.03,2.7,0.94,0.08,0.77
2024-12-30,2926,8.6,8.69,8.69,8.54,162420,141335309.0,1.74,0.93,0.08,0.62
2024-12-31,2926,8.67,8.23,8.71,8.23,303292,258488291.76,5.52,-5.29,-0.46,1.16
2025-01-02,2926,8.23,7.86,8.24,7.78,261555,212158083.48,5.59,-4.5,-0.37,1.0
2025-01-03,2926,7.93,7.82,8.18,7.78,423992,341173957.74,5.09,-0.51,-0.04,1.62
2025-01-06,2926,7.68,7.73,7.81,7.59,266889,207268195.2,2.81,-1.15,-0.09,1.02
2025-01-07,2926,7.73,7.73,7.76,7.6,175864,136578126.4,2.07,0.0,0.0,0.67
2025-01-08,2926,7.67,7.65,7.7,7.46,233536,178788026.26,3.1,-1.03,-0.08,0.89
