日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,股票名称,前收盘,复权状态,交易状态,动态市盈率,动态市现率,动态市净率
2022-03-11,603689,9.730,9.820,9.820,9.520,2170800,21317256.00,3.15,0.20,0.02,0.00,603689,9.80,不复权,正常交易,,,
2022-03-14,603689,9.780,9.520,9.780,9.500,2224800,21180096.00,2.95,-3.05,-0.30,0.00,603689,9.82,不复权,正常交易,,,
2022-03-15,603689,9.500,9.010,9.500,9.000,3926923,35381576.23,5.56,-5.36,-0.51,0.00,603689,9.52,不复权,正常交易,,,
2022-03-16,603689,9.120,9.180,9.210,8.930,2303600,21147048.00,3.14,1.89,0.17,0.00,603689,9.01,不复权,正常交易,,,
2022-03-17,603689,9.280,9.250,9.350,9.210,2565750,23733187.50,1.52,0.76,0.07,0.00,603689,9.18,不复权,正常交易,,,
2022-03-18,603689,9.200,9.330,9.350,9.170,1754600,16370418.00,1.96,0.86,0.08,0.00,603689,9.25,不复权,正常交易,,,
2022-03-21,603689,9.330,9.420,9.440,9.300,1912900,18019518.00,1.51,0.96,0.09,0.00,603689,9.33,不复权,正常交易,,,
2022-03-22,603689,9.400,9.470,9.550,9.370,1474600,13964462.00,1.92,0.53,0.05,0.00,603689,9.42,不复权,正常交易,,,
2022-03-23,603689,9.490,9.430,9.530,9.400,1084800,10229664.00,1.38,-0.42,-0.04,0.00,603689,9.47,不复权,正常交易,,,
2022-03-24,603689,9.430,9.370,9.560,9.360,1501354,14067686.98,2.14,-0.64,-0.06,0.00,603689,9.43,不复权,正常交易,,,
2022-03-25,603689,9.360,9.390,9.460,9.320,1040900,9774051.00,1.50,0.21,0.02,0.00,603689,9.37,不复权,正常交易,,,
2022-03-28,603689,9.390,9.420,9.510,9.230,1471800,13864356.00,3.03,0.32,0.03,0.00,603689,9.39,不复权,正常交易,,,
2022-03-29,603689,9.420,9.390,9.450,9.340,1013000,9512070.00,1.18,-0.32,-0.03,0.00,603689,9.42,不复权,正常交易,,,
2022-03-30,603689,9.390,9.430,9.460,9.360,1343822,12672241.46,1.07,0.43,0.04,0.00,603689,9.39,不复权,正常交易,,,
2022-03-31,603689,9.440,9.520,9.550,9.410,1705500,16236360.00,1.49,0.95,0.09,0.00,603689,9.43,不复权,正常交易,,,
2022-04-01,603689,9.560,9.560,9.570,9.450,1594700,15245332.00,1.27,0.42,0.04,0.00,603689,9.52,不复权,正常交易,,,
2022-04-06,603689,9.550,9.690,9.700,9.520,1802800,17469132.00,1.89,1.36,0.13,0.00,603689,9.56,不复权,正常交易,,,
2022-04-07,603689,9.640,9.670,9.690,9.590,1702200,16460274.00,1.04,-0.21,-0.02,0.00,603689,9.69,不复权,正常交易,,,
2022-04-08,603689,9.680,9.600,9.750,9.500,1705400,16371840.00,2.63,-0.72,-0.07,0.00,603689,9.67,不复权,正常交易,,,
2022-04-11,603689,9.910,9.630,9.950,9.580,3945200,37992276.00,3.86,0.31,0.03,0.00,603689,9.60,不复权,正常交易,,,
2022-04-12,603689,9.660,9.790,9.810,9.580,2214100,21676039.00,2.40,1.66,0.16,0.00,603689,9.63,不复权,正常交易,,,
2022-04-13,603689,9.790,9.870,10.050,9.740,2722000,26866140.00,3.18,0.82,0.08,0.00,603689,9.79,不复权,正常交易,,,
2022-04-14,603689,9.900,9.950,9.970,9.850,2009400,19993530.00,1.22,0.81,0.08,0.00,603689,9.87,不复权,正常交易,,,
2022-04-15,603689,9.920,9.880,10.070,9.800,2650800,26189904.00,2.76,-0.70,-0.07,0.00,603689,9.95,不复权,正常交易,,,
2022-04-18,603689,9.850,10.010,10.040,9.660,2531300,25338313.00,3.93,1.32,0.13,0.00,603689,9.88,不复权,正常交易,,,
2022-04-19,603689,10.020,10.120,10.160,9.950,2277100,23044252.00,2.11,1.10,0.11,0.00,603689,10.01,不复权,正常交易,,,
2022-04-20,603689,10.090,10.020,10.180,9.960,2246100,22505922.00,2.21,-0.99,-0.10,0.00,603689,10.12,不复权,正常交易,,,
2022-04-21,603689,10.020,9.740,10.080,9.680,3085554,30053295.96,4.13,-2.79,-0.28,0.00,603689,10.02,不复权,正常交易,,,
2022-04-22,603689,9.740,9.830,9.910,9.600,2714800,26686484.00,3.23,0.92,0.09,0.00,603689,9.74,不复权,正常交易,,,
2022-04-25,603689,9.760,9.200,9.760,9.140,3108900,28601880.00,6.78,-6.41,-0.63,0.00,603689,9.83,不复权,正常交易,,,
2022-04-26,603689,9.230,8.910,9.300,8.900,1960000,17463600.00,4.49,-3.15,-0.29,0.00,603689,9.20,不复权,正常交易,,,
2022-04-27,603689,8.890,9.220,9.240,8.630,3008450,27737909.00,7.07,3.48,0.31,0.00,603689,8.91,不复权,正常交易,,,
2022-04-28,603689,9.150,9.040,9.200,8.960,1326900,11995176.00,2.68,-1.95,-0.18,0.00,603689,9.22,不复权,正常交易,,,
2022-04-29,603689,9.180,9.590,9.690,9.090,3099600,29725164.00,6.60,6.08,0.55,0.00,603689,9.04,不复权,正常交易,,,
2022-05-05,603689,9.670,9.820,9.950,9.580,2175700,21365374.00,3.86,2.40,0.23,0.00,603689,9.59,不复权,正常交易,,,
2022-05-06,603689,9.640,9.780,9.900,9.600,1973900,19304742.00,3.13,-0.41,-0.04,0.00,603689,9.82,不复权,正常交易,,,
2022-05-09,603689,9.800,9.900,9.980,9.690,1682600,16657740.00,2.99,1.23,0.12,0.00,603689,9.78,不复权,正常交易,,,
2022-05-10,603689,9.710,10.000,10.010,9.700,1995377,19953770.00,3.20,1.01,0.10,0.00,603689,9.90,不复权,正常交易,,,
2022-05-11,603689,10.010,9.830,10.060,9.820,2897000,28477510.00,2.44,-1.70,-0.17,0.00,603689,10.00,不复权,正常交易,,,
2022-05-12,603689,9.860,9.950,10.030,9.840,1795000,17860250.00,1.93,1.22,0.12,0.00,603689,9.83,不复权,正常交易,,,
2022-05-13,603689,9.980,10.010,10.030,9.930,1583300,15848833.00,1.01,0.60,0.06,0.00,603689,9.95,不复权,正常交易,,,
2022-05-16,603689,10.020,10.040,10.110,9.950,1381100,13866244.00,1.61,0.30,0.03,0.00,603689,10.01,不复权,正常交易,,,
2022-05-17,603689,10.040,9.960,10.070,9.920,1117700,11132292.00,1.51,-0.80,-0.08,0.00,603689,10.04,不复权,正常交易,,,
2022-05-18,603689,9.960,9.920,10.020,9.910,882900,8758368.00,1.11,-0.40,-0.04,0.00,603689,9.96,不复权,正常交易,,,
2022-05-19,603689,9.810,9.930,9.970,9.800,1099353,10916575.29,1.73,0.10,0.01,0.00,603689,9.92,不复权,正常交易,,,
