日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,ETF代码,ETF名称,爬取时间,IOPV,折价率,溢价率
2024-10-10,100.0,100.001,99.999,100.001,38805,388049034.896,0.0,0.0,0.0,27.41,159001,货币ETF,2025-10-10 19:10:53,,,
2024-10-11,100.0,100.001,99.999,100.0,49541,495408131.6,0.0,0.0,-0.001,35.0,159001,货币ETF,2025-10-10 19:10:53,,,
2024-10-14,100.0,100.001,99.999,100.0,47043,470433133.2,0.0,0.0,0.0,33.23,159001,货币ETF,2025-10-10 19:10:53,,,
2024-10-15,100.0,100.001,99.999,100.0,59652,596517083.827,0.0,0.0,0.0,42.14,159001,货币ETF,2025-10-10 19:10:53,,,
2024-10-16,100.0,100.001,99.999,100.0,57490,574895562.894,0.0,0.0,0.0,40.61,159001,货币ETF,2025-10-10 19:10:53,,,
2024-10-17,100.0,100.001,99.999,100.0,47644,476440341.916,0.0,0.0,0.0,33.66,159001,货币ETF,2025-10-10 19:10:53,,,
2024-10-18,100.0,100.0,99.996,100.0,64789,647880703.829,0.0,0.0,0.0,45.77,159001,货币ETF,2025-10-10 19:10:53,,,
2024-10-21,99.999,100.001,99.999,100.001,39698,396974769.275,0.0,0.0,0.001,28.04,159001,货币ETF,2025-10-10 19:10:53,,,
2024-10-22,100.0,100.001,99.999,100.001,53853,538531278.839,0.0,0.0,0.0,38.04,159001,货币ETF,2025-10-10 19:10:53,,,
2024-10-23,99.999,100.0,99.999,100.0,37903,379025983.627,0.0,0.0,-0.001,26.78,159001,货币ETF,2025-10-10 19:10:53,,,
2024-10-24,100.0,100.001,99.999,100.0,65942,659425384.432,0.0,0.0,0.0,46.58,159001,货币ETF,2025-10-10 19:10:53,,,
2024-10-25,100.0,100.001,99.999,100.0,66902,669018455.699,0.0,0.0,0.0,47.26,159001,货币ETF,2025-10-10 19:10:53,,,
2024-10-28,100.0,100.001,99.999,100.0,60648,606483738.65,0.0,0.0,0.0,42.84,159001,货币ETF,2025-10-10 19:10:53,,,
2024-10-29,100.0,100.001,99.999,100.0,89574,895741964.39,0.0,0.0,0.0,63.28,159001,货币ETF,2025-10-10 19:10:53,,,
2024-10-30,99.999,100.001,99.999,100.0,68602,686018871.797,0.0,0.0,0.0,48.46,159001,货币ETF,2025-10-10 19:10:53,,,
2024-10-31,100.0,100.001,99.999,100.001,76499,764988431.258,0.0,0.0,0.001,54.04,159001,货币ETF,2025-10-10 19:10:53,,,
2024-11-01,100.0,100.001,99.999,100.0,54610,546096618.424,0.0,0.0,-0.001,38.58,159001,货币ETF,2025-10-10 19:10:53,,,
2024-11-04,100.0,100.001,99.999,100.0,46774,467742696.179,0.0,0.0,0.0,33.04,159001,货币ETF,2025-10-10 19:10:53,,,
2024-11-05,100.0,100.001,99.999,100.0,38120,381197302.917,0.0,0.0,0.0,26.93,159001,货币ETF,2025-10-10 19:10:53,,,
2024-11-06,100.0,100.001,99.999,100.001,37991,379907616.134,0.0,0.0,0.001,26.84,159001,货币ETF,2025-10-10 19:10:53,,,
2024-11-07,99.999,100.001,99.999,99.999,48564,485636080.018,0.0,0.0,-0.002,34.31,159001,货币ETF,2025-10-10 19:10:53,,,
2024-11-08,99.999,100.001,99.999,100.001,60696,606956538.96,0.0,0.0,0.002,42.88,159001,货币ETF,2025-10-10 19:10:53,,,
2024-11-11,99.999,100.001,99.999,100.001,31938,319376926.99,0.0,0.0,0.0,22.56,159001,货币ETF,2025-10-10 19:10:53,,,
2024-11-12,100.0,100.001,99.999,100.0,80109,801089275.223,0.0,0.0,-0.001,56.59,159001,货币ETF,2025-10-10 19:10:53,,,
2024-11-13,100.0,100.001,99.999,100.0,38973,389725191.35,0.0,0.0,0.0,27.53,159001,货币ETF,2025-10-10 19:10:53,,,
2024-11-14,100.0,100.001,99.999,100.0,48767,487666733.634,0.0,0.0,0.0,34.45,159001,货币ETF,2025-10-10 19:10:53,,,
2024-11-15,100.0,100.001,99.999,100.0,63598,635977537.921,0.0,0.0,0.0,44.93,159001,货币ETF,2025-10-10 19:10:53,,,
2024-11-18,100.0,100.001,99.999,100.001,68998,689981611.702,0.0,0.0,0.001,48.74,159001,货币ETF,2025-10-10 19:10:53,,,
2024-11-19,99.999,100.001,99.999,100.001,40217,402170309.493,0.0,0.0,0.0,28.41,159001,货币ETF,2025-10-10 19:10:53,,,
2024-11-20,100.0,100.001,99.999,100.0,60917,609175584.297,0.0,0.0,-0.001,43.03,159001,货币ETF,2025-10-10 19:10:53,,,
2024-11-21,100.0,100.001,99.999,100.0,47040,470401355.389,0.0,0.0,0.0,33.23,159001,货币ETF,2025-10-10 19:10:53,,,
2024-11-22,100.0,100.001,99.999,100.0,64430,644297060.109,0.0,0.0,0.0,45.52,159001,货币ETF,2025-10-10 19:10:53,,,
2024-11-25,100.0,100.001,99.999,100.0,51463,514626616.075,0.0,0.0,0.0,36.35,159001,货币ETF,2025-10-10 19:10:53,,,
2024-11-26,100.0,100.001,99.999,100.0,76296,762960195.88,0.0,0.0,0.0,53.9,159001,货币ETF,2025-10-10 19:10:53,,,
2024-11-27,99.999,100.001,99.999,100.001,38001,380006334.119,0.0,0.0,0.001,26.84,159001,货币ETF,2025-10-10 19:10:53,,,
2024-11-28,100.0,100.001,99.999,100.0,62743,627428829.72,0.0,0.0,-0.001,44.32,159001,货币ETF,2025-10-10 19:10:53,,,
2024-11-29,100.0,100.001,99.999,100.001,33225,332253082.4,0.0,0.0,0.001,23.47,159001,货币ETF,2025-10-10 19:10:53,,,
2024-12-02,99.999,100.001,99.999,100.0,59265,592651262.5,0.0,0.0,-0.001,41.87,159001,货币ETF,2025-10-10 19:10:53,,,
2024-12-03,100.0,100.001,99.999,100.0,43276,432764387.492,0.0,0.0,0.0,30.57,159001,货币ETF,2025-10-10 19:10:53,,,
2024-12-04,100.0,100.001,99.999,100.0,46953,469529962.082,0.0,0.0,0.0,33.17,159001,货币ETF,2025-10-10 19:10:53,,,
2024-12-05,100.0,100.001,99.999,100.0,35832,358315221.3,0.0,0.0,0.0,25.31,159001,货币ETF,2025-10-10 19:10:53,,,
2024-12-06,99.999,100.001,99.999,100.001,45499,454990308.457,0.0,0.0,0.001,32.14,159001,货币ETF,2025-10-10 19:10:53,,,
2024-12-09,100.0,100.001,99.999,100.0,65518,655175788.521,0.0,0.0,-0.001,46.28,159001,货币ETF,2025-10-10 19:10:53,,,
2024-12-10,99.999,100.0,99.998,100.0,44852,448513719.078,0.0,0.0,0.0,31.68,159001,货币ETF,2025-10-10 19:10:53,,,
2024-12-11,99.999,100.004,99.999,100.0,24434,244338605.514,0.01,0.0,0.0,17.26,159001,货币ETF,2025-10-10 19:10:53,,,
2024-12-12,100.0,100.001,99.999,99.999,54342,543416187.461,0.0,0.0,-0.001,38.39,159001,货币ETF,2025-10-10 19:10:53,,,
2024-12-13,100.0,100.002,99.999,100.001,79823,798230476.79,0.0,0.0,0.002,56.39,159001,货币ETF,2025-10-10 19:10:53,,,
2024-12-16,99.999,100.001,99.999,100.0,72840,728402031.877,0.0,0.0,-0.001,51.46,159001,货币ETF,2025-10-10 19:10:53,,,
2024-12-17,99.999,100.001,99.995,100.0,60590,605895362.934,0.01,0.0,0.0,42.8,159001,货币ETF,2025-10-10 19:10:53,,,
2024-12-18,99.999,100.001,99.999,100.001,32024,320235551.394,0.0,0.0,0.001,22.62,159001,货币ETF,2025-10-10 19:10:53,,,
