日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,ETF代码,ETF名称,爬取时间,折溢价率,市场价格,IOPV,净值时间
2025-09-29,1.476,1.479,1.474,1.478,29417700.0,0.0,0.3406,0.0068,0.01,inf,159513,纳斯达克100指数ETF,2025-09-30 10:25:52,0.0,0.0,0.0,0.0
2025-09-26,1.469,1.469,1.462,1.468,45842500.0,0.0,0.0,0.0,0.0,inf,159513,纳斯达克100指数ETF,2025-09-30 10:25:52,0.0,0.0,0.0,0.0
2025-09-25,1.485,1.485,1.469,1.473,54688100.0,805555.71,1.08,-0.81,-0.012,,159513,纳斯达克100指数ETF,2025-09-25 18:24:57,,,,
2025-09-24,1.477,1.485,1.472,1.485,36631000.0,543970.35,0.87,-0.27,-0.004,,159513,纳斯达克100指数ETF,2025-09-25 18:24:57,,,,
2025-09-23,1.481,1.489,1.478,1.489,58803104.0,875578.22,0.74,0.54,0.008,,159513,纳斯达克100指数ETF,2025-09-25 18:24:57,,,,
2025-09-22,1.468,1.471,1.467,1.469,54037200.0,793806.47,0.27,0.07,0.001,,159513,纳斯达克100指数ETF,2025-09-24 18:26:46,,,,
2025-09-19,1.46,1.462,1.457,1.458,55149600.0,804081.17,0.34,0.34,0.005,,159513,纳斯达克100指数ETF,2025-09-19 18:14:22,,,,
2025-09-18,1.447,1.456,1.447,1.453,125041533.0,1816853.47,0.62,0.62,0.009,,159513,纳斯达克100指数ETF,2025-09-19 18:14:22,,,,
2025-09-17,1.447,1.447,1.442,1.444,47611200.0,687505.73,0.35,-0.21,-0.003,,159513,纳斯达克100指数ETF,2025-09-19 18:14:22,,,,
2025-09-16,1.448,1.451,1.447,1.449,40683300.0,589501.02,0.28,0.07,0.001,,159513,纳斯达克100指数ETF,2025-09-18 22:22:51,,,,
2025-09-12,1.433,1.433,1.43,1.431,37192100.0,532218.95,0.21,0.35,0.005,,159513,纳斯达克100指数ETF,2025-09-17 22:21:54,,,,
2025-09-11,1.427,1.427,1.423,1.426,37290500.0,531762.53,0.28,-0.14,-0.002,,159513,纳斯达克100指数ETF,2025-09-17 22:21:54,,,,
2025-09-10,1.426,1.428,1.425,1.428,37116700.0,530026.48,0.21,0.14,0.002,,159513,纳斯达克100指数ETF,2025-09-17 22:21:54,,,,
2025-09-09,1.419,1.423,1.418,1.422,36364300.0,517100.35,0.0,0.0,0.0,0.0,159513,纳斯达克100指数ETF,2025-09-09 18:57:38,,,,
2025-09-08,1.419,1.422,1.416,1.417,43802702.0,620684.29,0.0,0.0,0.0,0.0,159513,纳斯达克100指数ETF,2025-09-08 18:27:51,,,,
2025-09-05,1.42,1.42,1.416,1.42,36172677.0,51.37,0.29,1.21,0.017,0.0,159513,纳斯达克100指数ETF,2025-09-06 21:15:10,,,,
2025-09-04,1.404,1.407,1.403,1.403,58782700.0,82.47,0.29,0.5,0.007,0.0,159513,纳斯达克100指数ETF,2025-09-06 21:15:10,,,,
2025-09-03,1.392,1.398,1.391,1.396,30989400.0,43.26,0.5,-0.29,-0.004,0.0,159513,纳斯达克100指数ETF,2025-09-06 21:15:10,,,,
2025-09-02,1.401,1.402,1.398,1.4,29519400.0,41.33,0.29,0.07,0.001,0.0,159513,纳斯达克100指数ETF,2025-09-06 21:15:10,,,,
2025-09-01,1.403,1.404,1.394,1.399,64791300.0,90.64,0.71,-1.13,-0.016,0.0,159513,纳斯达克100指数ETF,2025-09-06 21:15:10,,,,
2025-08-29,1.415,1.416,1.413,1.415,66475585.0,94.06,0.21,0.43,0.006,0.0,159513,纳斯达克100指数ETF,2025-09-06 21:15:10,,,,
2025-08-28,1.407,1.411,1.406,1.409,73505512.0,103.57,0.35,-0.35,-0.005,0.0,159513,纳斯达克100指数ETF,2025-09-06 21:15:10,,,,
2025-08-27,1.411,1.415,1.41,1.414,103497901.0,146.35,0.36,0.78,0.011,0.0,159513,纳斯达克100指数ETF,2025-09-06 21:15:10,,,,
2025-08-26,1.408,1.409,1.402,1.403,153237000.0,214.99,0.5,-0.78,-0.011,0.0,159513,纳斯达克100指数ETF,2025-09-06 21:15:10,,,,
2025-08-25,1.413,1.415,1.412,1.414,64148200.0,90.71,0.22,1.51,0.021,0.0,159513,纳斯达克100指数ETF,2025-09-06 21:15:10,,,,
2025-08-22,1.395,1.398,1.388,1.393,78887710.0,109.89,0.71,-0.57,-0.008,0.0,159513,纳斯达克100指数ETF,2025-09-06 21:15:10,,,,
2025-08-21,1.399,1.403,1.396,1.401,72938300.0,102.19,0.5,-0.21,-0.003,0.0,159513,纳斯达克100指数ETF,2025-09-06 21:15:10,,,,
2025-08-20,1.401,1.405,1.4,1.404,60834300.0,85.41,0.35,-1.47,-0.021,0.0,159513,纳斯达克100指数ETF,2025-09-06 21:15:10,,,,
2025-08-19,1.428,1.428,1.423,1.425,29198200.0,41.61,0.35,-0.21,-0.003,0.0,159513,纳斯达克100指数ETF,2025-09-06 21:15:10,,,,
