日期，开盘，最高，最低，收盘，成交量，成交额，振幅，涨跌幅，涨跌额，换手率，IOPV，折价率，溢价率，ETF 代码，ETF 名称，爬取时间,日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,IOPV,折价率,溢价率,ETF代码,ETF名称,爬取时间
,2025-04-28,1.077,1.077,1.067,1.068,726902.0,776331.31,0.0,0.0,,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-04-29,1.049,1.08,1.049,1.074,576500.0,619161.0,2.9,0.56,0.006,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-04-30,1.074,1.09,1.074,1.086,552000.0,599471.98,1.49,1.12,0.012,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-05-06,1.105,1.117,1.1,1.116,2264800.0,2527516.93,1.57,2.76,0.03,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-05-07,1.133,1.133,1.115,1.123,930800.0,1045288.42,1.61,0.63,0.007,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-05-08,1.128,1.137,1.128,1.135,1413000.0,1603754.99,0.8,1.07,0.012,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-05-09,1.13,1.13,1.122,1.123,2261100.0,2539215.36,0.7,-1.06,-0.012,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-05-12,1.123,1.145,1.123,1.137,862100.0,980207.67,1.96,1.25,0.014,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-05-13,1.16,1.16,1.131,1.133,881100.0,998286.31,2.55,-0.35,-0.004,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-05-14,1.133,1.143,1.128,1.134,3261000.0,3697973.82,1.32,0.09,0.001,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-05-15,1.135,1.135,1.122,1.126,606200.0,682581.23,1.15,-0.71,-0.008,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-05-16,1.126,1.136,1.123,1.132,1350700.0,1528992.36,1.15,0.53,0.006,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-05-19,1.133,1.14,1.121,1.138,3614800.0,4113642.44,1.68,0.53,0.006,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-05-20,1.137,1.149,1.137,1.149,2012900.0,2312822.2,1.05,0.97,0.011,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-05-21,1.149,1.149,1.138,1.141,961700.0,1097299.73,0.96,-0.7,-0.008,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-05-22,1.136,1.149,1.129,1.13,1503000.0,1698389.99,1.75,-0.96,-0.011,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-05-23,1.118,1.139,1.118,1.118,2095000.0,2342210.06,1.86,-1.06,-0.012,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-05-26,1.12,1.132,1.119,1.13,2967300.0,3353048.99,1.16,1.07,0.012,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-05-27,1.123,1.135,1.123,1.134,642900.0,729048.56,1.06,0.35,0.004,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-05-28,1.157,1.158,1.116,1.132,1069300.0,1210447.57,3.7,-0.18,-0.002,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-05-29,1.136,1.153,1.133,1.153,3084900.0,3556889.69,1.77,1.86,0.021,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-05-30,1.153,1.153,1.131,1.131,1751800.0,1981285.87,1.91,-1.91,-0.022,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-06-03,1.131,1.143,1.131,1.14,444348.0,506556.71,1.06,0.8,0.009,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-06-04,1.128,1.154,1.128,1.154,1022800.0,1180311.24,2.28,1.23,0.014,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-06-05,1.152,1.162,1.148,1.16,1548500.0,1796259.95,1.21,0.52,0.006,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-06-06,1.162,1.162,1.155,1.16,1169800.0,1356967.96,0.6,0.0,0.0,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-06-09,1.164,1.172,1.164,1.172,1488102.0,1744055.62,0.69,1.03,0.012,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-06-10,1.17,1.173,1.151,1.164,3072500.0,3576390.11,1.88,-0.68,-0.008,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-06-11,1.17,1.176,1.168,1.171,390801.0,457627.97,0.69,0.6,0.007,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-06-12,1.167,1.175,1.167,1.172,1820700.0,2133860.49,0.68,0.09,0.001,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-06-13,1.163,1.17,1.153,1.155,1940200.0,2240930.94,1.45,-1.45,-0.017,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-06-16,1.16,1.164,1.16,1.164,383800.0,446743.21,0.35,0.78,0.009,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-06-17,1.164,1.167,1.159,1.162,1648000.0,1914975.9,0.69,-0.17,-0.002,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-06-18,1.16,1.161,1.151,1.161,4679706.0,5433138.73,0.86,-0.09,-0.001,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-06-19,1.158,1.163,1.138,1.14,1271400.0,1449395.98,2.15,-1.81,-0.021,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-06-20,1.145,1.151,1.135,1.136,2426700.0,2756731.29,1.4,-0.35,-0.004,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-06-23,1.13,1.156,1.13,1.156,2403700.0,2778677.24,2.29,1.76,0.02,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-06-24,1.15,1.178,1.14,1.177,559000.0,657943.03,3.29,1.82,0.021,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-06-25,1.179,1.19,1.177,1.189,3169900.0,3769011.13,1.1,1.02,0.012,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-06-26,1.189,1.197,1.186,1.191,1933111.0,2302335.17,0.93,0.17,0.002,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-06-27,1.186,1.199,1.186,1.194,590400.0,704937.6,1.09,0.25,0.003,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-06-30,1.191,1.209,1.18,1.209,835100.0,1009635.89,2.43,1.26,0.015,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-07-01,1.205,1.214,1.204,1.212,5126700.0,6213560.46,0.83,0.25,0.003,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-07-02,1.208,1.208,1.201,1.206,1366401.0,1647879.57,0.58,-0.5,-0.006,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-07-03,1.199,1.218,1.199,1.212,1465769.0,1776512.05,1.58,0.5,0.006,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-07-04,1.208,1.212,1.2,1.204,2274100.0,2738016.39,0.99,-0.66,-0.008,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-07-07,1.197,1.209,1.197,1.208,1366400.0,1650611.12,1.0,0.33,0.004,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-07-08,1.209,1.227,1.209,1.226,2587800.0,3172642.67,1.49,1.49,0.018,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-07-09,1.225,1.234,1.222,1.226,660200.0,809405.17,0.98,0.0,0.0,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-07-10,1.226,1.232,1.225,1.229,397200.0,488158.79,0.57,0.24,0.003,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-07-11,1.228,1.237,1.223,1.231,1813702.0,2232667.07,1.14,0.16,0.002,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-07-14,1.238,1.246,1.229,1.24,6807900.0,8441796.06,1.38,0.73,0.009,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-07-15,1.238,1.239,1.216,1.23,8350400.0,10270992.16,1.85,-0.81,-0.01,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-07-16,1.228,1.239,1.228,1.235,3685800.0,4551963.05,0.89,0.41,0.005,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-07-17,1.237,1.252,1.236,1.252,1595700.0,1997816.36,1.3,1.38,0.017,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-07-18,1.252,1.256,1.245,1.249,2677400.0,3344072.47,0.88,-0.24,-0.003,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-07-21,1.253,1.266,1.253,1.262,1614700.0,2037751.34,1.04,1.04,0.013,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-07-22,1.263,1.269,1.258,1.269,3458107.0,4388337.97,0.87,0.55,0.007,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-07-23,1.262,1.269,1.257,1.26,3480300.0,4385177.97,0.95,-0.71,-0.009,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-07-24,1.267,1.274,1.266,1.271,1910500.0,2428245.55,0.63,0.87,0.011,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-07-25,1.271,1.277,1.269,1.276,2092900.0,2670540.45,0.63,0.39,0.005,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-07-28,1.276,1.283,1.271,1.282,1882300.0,2413108.5,0.94,0.47,0.006,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-07-29,1.283,1.289,1.274,1.287,3021100.0,3888155.52,1.17,0.39,0.005,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-07-30,1.299,1.299,1.274,1.278,2977600.0,3805372.79,1.94,-0.7,-0.009,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-07-31,1.28,1.288,1.264,1.267,2381200.0,3016980.3,1.88,-0.86,-0.011,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-08-01,1.267,1.281,1.267,1.28,1783900.0,2283391.95,1.1,1.03,0.013,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
,2025-08-04,1.273,1.299,1.271,1.299,2034400.0,2642685.65,2.19,1.48,0.019,0.0,0.0,0.0,0.0,159535,中证2000ETF嘉实,2026-04-28 22:58:49
