日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,ETF代码,ETF名称,爬取时间,折溢价率
2025-09-25,0.663,0.663,0.657,0.658,32953103,216831.42,0.9,-0.75,-0.005,,159843,食品饮料ETF,2025-09-25 18:24:57,
2025-09-24,0.661,0.665,0.658,0.663,29513703,195675.85,1.06,0.15,0.001,,159843,食品饮料ETF,2025-09-25 18:24:57,
2025-09-23,0.661,0.667,0.656,0.662,51830601,343118.58,1.66,0.15,0.001,,159843,食品饮料ETF,2025-09-25 18:24:57,
2025-09-22,0.675,0.675,0.664,0.666,43462500,289460.25,1.63,-1.33,-0.009,,159843,食品饮料ETF,2025-09-24 18:26:46,
2025-09-19,0.672,0.676,0.667,0.676,53854805,364058.48,1.34,0.6,0.004,,159843,食品饮料ETF,2025-09-24 15:14:41,
2025-09-18,0.683,0.683,0.669,0.672,58686406,394372.65,2.05,-1.47,-0.01,,159843,食品饮料ETF,2025-09-24 15:14:41,
2025-09-17,0.685,0.687,0.679,0.682,41306224,281708.45,1.17,-0.44,-0.003,,159843,食品饮料ETF,2025-09-24 15:14:41,
2025-09-16,0.69,0.69,0.681,0.685,42108528,288443.42,1.31,-0.29,-0.002,,159843,食品饮料ETF,2025-09-24 15:14:41,
2025-09-15,0.69,0.691,0.685,0.687,33637225,231087.74,0.87,-0.43,-0.003,,159843,食品饮料ETF,2025-09-24 15:14:41,
2025-09-12,0.698,0.703,0.689,0.69,66486900,458759.61,2.01,-1.15,-0.008,,159843,食品饮料ETF,2025-09-24 15:14:41,
2025-09-11,0.692,0.698,0.689,0.697,70916614,494288.8,1.3,0.43,0.003,0.0,159843,食品饮料ETF,2025-09-11 22:22:15,0.0
2025-09-10,0.697,0.699,0.69,0.694,47224014,327734.66,0.0,0.0,0.0,0.0,159843,食品饮料ETF,2025-09-11 22:22:15,0.0
2025-09-09,0.695,0.696,0.688,0.696,57277228,398649.51,0.0,0.0,0.0,0.0,159843,食品饮料ETF,2025-09-09 18:57:38,
2025-09-08,0.686,0.695,0.683,0.695,68875005,478681.28,0.0,0.0,0.0,0.0,159843,食品饮料ETF,2025-09-08 19:44:28,
2025-09-05,0.684,0.686,0.674,0.685,56060512,38.4,0.0,0.0,0.0,0.0,159843,食品饮料ETF,2025-09-06 21:15:10,
2025-09-04,0.681,0.682,0.674,0.681,52519801,35.77,1.17,0.0,0.0,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-09-03,0.69,0.7,0.679,0.681,62620000,42.64,3.03,-1.59,-0.011,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-09-02,0.693,0.704,0.689,0.692,70987500,49.12,2.16,-0.43,-0.003,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-09-01,0.696,0.699,0.69,0.695,74582800,51.84,1.29,0.0,0.0,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-08-29,0.677,0.698,0.677,0.695,98880601,68.72,3.11,2.81,0.019,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-08-28,0.679,0.684,0.666,0.676,66238711,44.78,2.65,-0.59,-0.004,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-08-27,0.698,0.698,0.68,0.68,121820007,82.84,2.58,-2.58,-0.018,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-08-26,0.698,0.705,0.691,0.698,81860844,57.14,2.0,-0.14,-0.001,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-08-25,0.68,0.7,0.678,0.699,94690100,66.19,3.24,3.1,0.021,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-08-22,0.672,0.678,0.671,0.678,55699207,37.76,1.04,0.44,0.003,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-08-21,0.678,0.679,0.671,0.675,56002200,37.8,1.18,-0.15,-0.001,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-08-20,0.666,0.676,0.66,0.676,65029521,43.96,2.4,1.5,0.01,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-08-19,0.66,0.669,0.659,0.666,59885719,39.88,1.52,0.91,0.006,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-08-18,0.659,0.663,0.655,0.66,92112511,60.79,1.22,0.46,0.003,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-08-15,0.654,0.657,0.648,0.657,37039600,24.34,1.38,0.46,0.003,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-08-14,0.655,0.662,0.652,0.654,42376102,27.71,1.53,0.0,0.0,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-08-13,0.656,0.656,0.65,0.654,42098008,27.53,0.92,0.15,0.001,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-08-12,0.654,0.662,0.652,0.653,47202404,30.82,1.53,-0.15,-0.001,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-08-11,0.647,0.656,0.646,0.654,93811000,61.35,1.55,1.08,0.007,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-08-08,0.651,0.651,0.645,0.647,19207400,12.43,0.92,-0.46,-0.003,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-08-07,0.646,0.651,0.646,0.65,25910300,16.84,0.77,0.31,0.002,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-08-06,0.648,0.649,0.644,0.648,25469039,16.5,0.77,0.15,0.001,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-08-05,0.642,0.648,0.642,0.647,26677005,17.26,0.93,0.78,0.005,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-08-04,0.64,0.643,0.638,0.642,22396300,14.38,0.78,0.16,0.001,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-08-01,0.641,0.643,0.638,0.641,32816300,21.04,0.78,-0.16,-0.001,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-07-31,0.654,0.654,0.639,0.642,75203500,48.28,2.29,-2.13,-0.014,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-07-30,0.648,0.658,0.648,0.656,45253301,29.69,1.54,0.92,0.006,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-07-29,0.653,0.655,0.646,0.65,36849500,23.95,1.38,-0.31,-0.002,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-07-28,0.656,0.656,0.648,0.652,45646605,29.76,1.22,-0.61,-0.004,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-07-25,0.667,0.667,0.654,0.656,50053400,32.84,1.95,-1.35,-0.009,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-07-24,0.659,0.665,0.659,0.665,27291632,18.15,0.91,0.91,0.006,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-07-23,0.661,0.667,0.659,0.659,144780000,95.41,1.21,-0.45,-0.003,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-07-22,0.65,0.663,0.649,0.662,49600200,32.84,2.15,1.85,0.012,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-07-21,0.652,0.652,0.648,0.65,29109100,18.92,0.62,0.0,0.0,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-07-18,0.643,0.652,0.643,0.65,49042904,31.88,1.4,0.93,0.006,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-07-17,0.641,0.645,0.641,0.644,28301100,18.23,0.62,0.47,0.003,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-07-16,0.635,0.642,0.635,0.641,28364400,18.18,1.1,0.47,0.003,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-07-15,0.641,0.642,0.635,0.638,36395400,23.22,1.09,-0.93,-0.006,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-07-14,0.641,0.645,0.639,0.644,22583702,14.54,0.93,0.16,0.001,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-07-11,0.639,0.648,0.638,0.643,46353914,29.81,1.56,0.47,0.003,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-07-10,0.639,0.641,0.634,0.64,33425300,21.39,1.09,0.0,0.0,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-07-09,0.636,0.644,0.635,0.64,34645036,22.17,1.41,0.47,0.003,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-07-08,0.634,0.637,0.632,0.637,32981000,21.01,0.79,0.63,0.004,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-07-07,0.635,0.636,0.632,0.633,13626200,8.63,0.63,-0.47,-0.003,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-07-04,0.635,0.638,0.633,0.636,20441311,13.0,0.79,0.16,0.001,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-07-03,0.635,0.637,0.633,0.635,18632400,11.83,0.63,0.0,0.0,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-07-02,0.636,0.638,0.633,0.635,27031709,17.17,0.79,-0.16,-0.001,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-07-01,0.637,0.637,0.633,0.636,17142200,10.9,0.63,0.0,0.0,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-06-30,0.634,0.637,0.63,0.636,24293100,15.45,1.11,0.47,0.003,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-06-27,0.638,0.638,0.633,0.633,21364200,13.52,0.78,-0.78,-0.005,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-06-26,0.639,0.639,0.636,0.638,25916700,16.53,0.47,0.0,0.0,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-06-25,0.637,0.639,0.631,0.638,34672019,22.12,1.26,0.47,0.003,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-06-24,0.631,0.637,0.63,0.635,25910800,16.45,1.11,0.79,0.005,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-06-23,0.63,0.632,0.625,0.63,27211811,17.14,1.1,-0.63,-0.004,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-06-20,0.629,0.638,0.628,0.634,28620400,18.15,1.59,0.79,0.005,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-06-19,0.636,0.636,0.627,0.629,25748405,16.2,1.41,-1.41,-0.009,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-06-18,0.637,0.641,0.633,0.638,25882705,16.51,1.26,0.79,0.005,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-06-17,0.635,0.637,0.631,0.633,20343000,12.88,0.95,-0.16,-0.001,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-06-16,0.63,0.634,0.628,0.634,26017000,16.49,0.94,-0.47,-0.003,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-06-13,0.647,0.648,0.634,0.637,28810800,18.35,2.15,-2.0,-0.013,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-06-12,0.656,0.656,0.648,0.65,20575501,13.37,1.22,-1.07,-0.007,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-06-11,0.654,0.66,0.654,0.657,14409702,9.47,0.92,0.31,0.002,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-06-10,0.661,0.662,0.653,0.655,16557300,10.85,1.36,-0.91,-0.006,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-06-09,0.663,0.663,0.659,0.661,20477000,13.54,0.6,-0.3,-0.002,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-06-06,0.664,0.665,0.66,0.663,12672400,8.4,0.75,0.0,0.0,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-06-05,0.665,0.667,0.661,0.663,17167400,11.38,0.9,-0.45,-0.003,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-06-04,0.662,0.667,0.661,0.666,13325400,8.87,0.9,0.45,0.003,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-06-03,0.662,0.664,0.657,0.663,16739400,11.1,1.05,-0.45,-0.003,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-05-30,0.67,0.672,0.663,0.666,20137001,13.41,1.34,-0.6,-0.004,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-05-29,0.671,0.672,0.665,0.67,28731600,19.25,1.04,0.0,0.0,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-05-28,0.666,0.671,0.663,0.67,29259800,19.6,1.2,0.6,0.004,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-05-27,0.665,0.669,0.665,0.666,14307200,9.53,0.6,0.15,0.001,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-05-26,0.669,0.671,0.662,0.665,16494100,10.97,1.35,-0.45,-0.003,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-05-23,0.671,0.677,0.667,0.668,17580200,11.74,1.49,-0.45,-0.003,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-05-22,0.674,0.675,0.67,0.671,12622106,8.47,0.74,-0.3,-0.002,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-05-21,0.673,0.676,0.672,0.673,13319800,8.96,0.6,0.15,0.001,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-05-20,0.668,0.677,0.668,0.672,20390900,13.7,1.35,0.45,0.003,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
2025-05-19,0.673,0.673,0.665,0.669,18220400,12.19,1.19,-0.59,-0.004,0.0,159843,食品饮料ETF,2025-09-05 02:23:48,
