日期,开盘,最高,最低,收盘,成交量,折溢价率,成交额,振幅,涨跌幅,涨跌额,ETF代码,ETF名称,爬取时间
2024-09-24,1.013,1.05,1.013,1.042,43227400,,450429.51,3.65,2.86,0.029,520890,港股通红利低波ETF,2025-09-24 15:14:41
2024-09-25,1.069,1.069,1.047,1.05,30483100,,320072.55,2.11,0.77,0.008,520890,港股通红利低波ETF,2025-09-24 15:14:41
2024-09-26,1.051,1.07,1.045,1.07,17342800,,185567.96,2.38,1.9,0.02,520890,港股通红利低波ETF,2025-09-24 15:14:41
2024-09-27,1.076,1.12,1.07,1.071,6708100,,71843.75,4.67,0.09,0.001,520890,港股通红利低波ETF,2025-09-24 15:14:41
2024-09-30,1.098,1.149,1.07,1.128,22725200,,256340.26,7.38,5.32,0.057,520890,港股通红利低波ETF,2025-09-24 15:14:41
2024-10-08,1.241,1.241,1.135,1.191,15413100,,183570.02,9.4,5.59,0.063,520890,港股通红利低波ETF,2025-09-24 15:14:41
2024-10-09,1.191,1.191,1.092,1.11,3924600,,43563.06,8.31,-6.8,-0.081,520890,港股通红利低波ETF,2025-09-24 15:14:41
2024-10-10,1.14,1.188,1.12,1.157,10044100,,116210.24,6.13,4.23,0.047,520890,港股通红利低波ETF,2025-09-24 15:14:41
2024-10-11,1.158,1.166,1.122,1.13,6738600,,76146.18,3.8,-2.33,-0.027,520890,港股通红利低波ETF,2025-09-24 15:14:41
2024-10-14,1.146,1.181,1.145,1.165,18635100,,217098.92,3.19,3.1,0.035,520890,港股通红利低波ETF,2025-09-24 15:14:41
2024-10-15,1.167,1.172,1.134,1.135,6943100,,78804.18,3.26,-2.58,-0.03,520890,港股通红利低波ETF,2025-09-24 15:14:41
2024-10-16,1.133,1.159,1.133,1.151,6312200,,72653.42,2.29,1.41,0.016,520890,港股通红利低波ETF,2025-09-24 15:14:41
2024-10-17,1.156,1.172,1.133,1.136,3997300,,45409.33,3.39,-1.3,-0.015,520890,港股通红利低波ETF,2025-09-24 15:14:41
2024-10-18,1.136,1.17,1.136,1.164,9616500,,111936.06,2.99,2.46,0.028,520890,港股通红利低波ETF,2025-09-24 15:14:41
2024-10-21,1.165,1.178,1.151,1.153,2368800,,27312.26,2.32,-0.95,-0.011,520890,港股通红利低波ETF,2025-09-24 15:14:41
2024-10-22,1.16,1.168,1.157,1.161,2201100,,25554.77,0.95,0.69,0.008,520890,港股通红利低波ETF,2025-09-24 15:14:41
2024-10-23,1.161,1.174,1.161,1.167,2358700,,27526.03,1.12,0.52,0.006,520890,港股通红利低波ETF,2025-09-24 15:14:41
2024-10-24,1.167,1.167,1.157,1.162,2571300,,29878.51,0.86,-0.43,-0.005,520890,港股通红利低波ETF,2025-09-24 15:14:41
2024-10-25,1.159,1.168,1.159,1.159,2514800,,29146.53,0.77,-0.26,-0.003,520890,港股通红利低波ETF,2025-09-24 15:14:41
2024-10-28,1.154,1.171,1.154,1.167,2528800,,29511.1,1.47,0.69,0.008,520890,港股通红利低波ETF,2025-09-24 15:14:41
2024-10-29,1.172,1.178,1.151,1.158,1797000,,20809.26,2.31,-0.77,-0.009,520890,港股通红利低波ETF,2025-09-24 15:14:41
2024-10-30,1.157,1.158,1.131,1.142,1216400,,13891.29,2.33,-1.38,-0.016,520890,港股通红利低波ETF,2025-09-24 15:14:41
2024-10-31,1.141,1.149,1.136,1.138,1908100,,21714.18,1.14,-0.35,-0.004,520890,港股通红利低波ETF,2025-09-24 15:14:41
2024-11-01,1.134,1.156,1.134,1.146,1684400,,19303.22,1.93,0.7,0.008,520890,港股通红利低波ETF,2025-09-24 15:14:41
2024-11-04,1.15,1.153,1.14,1.151,3685800,,42423.56,1.13,0.44,0.005,520890,港股通红利低波ETF,2025-09-24 15:14:41
2024-11-05,1.147,1.171,1.147,1.169,2391700,,27958.97,2.09,1.56,0.018,520890,港股通红利低波ETF,2025-09-24 15:14:41
