日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,ETF代码,ETF名称,爬取时间,折价率
2024-10-10,1.018,1.063,1.001,1.05,20770,2166431.0,6.09,3.14,0.032,55.37,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-10-11,1.05,1.052,1.022,1.03,1806,186053.0,2.86,-1.9,-0.02,4.81,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-10-14,1.03,1.066,1.03,1.061,10816,1141305.0,3.5,3.01,0.031,28.83,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-10-15,1.06,1.061,1.041,1.041,399,41992.0,1.89,-1.89,-0.02,1.06,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-10-16,1.018,1.062,1.018,1.056,3382,355751.0,4.23,1.44,0.015,9.02,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-10-17,1.05,1.058,1.036,1.036,1074,112745.0,2.08,-1.89,-0.02,2.86,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-10-18,1.034,1.058,1.026,1.051,11250,1178255.0,3.09,1.45,0.015,29.99,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-10-21,1.047,1.047,1.037,1.04,4406,458263.0,0.95,-1.05,-0.011,11.75,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-10-22,1.04,1.046,1.039,1.046,3809,397299.0,0.67,0.58,0.006,10.15,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-10-23,1.05,1.054,1.049,1.051,1469,154518.0,0.48,0.48,0.005,3.92,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-10-24,1.05,1.05,1.045,1.047,999,104606.0,0.48,-0.38,-0.004,2.66,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-10-25,1.05,1.052,1.038,1.05,2141,223658.0,1.34,0.29,0.003,5.71,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-10-28,1.044,1.055,1.044,1.055,1416,148658.0,1.05,0.48,0.005,3.77,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-10-29,1.055,1.055,1.038,1.039,1645,171719.0,1.61,-1.52,-0.016,4.39,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-10-30,1.036,1.036,1.03,1.034,1070,110332.0,0.58,-0.48,-0.005,2.85,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-10-31,1.033,1.04,1.033,1.035,4551,471893.0,0.68,0.1,0.001,12.13,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-11-01,1.036,1.047,0.996,1.042,5963,621947.0,4.93,0.68,0.007,15.9,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-11-04,1.032,1.05,1.032,1.05,2497,259916.0,1.73,0.77,0.008,6.66,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-11-05,1.054,1.066,1.054,1.064,3025,321778.0,1.14,1.33,0.014,8.06,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-11-06,1.067,1.067,1.059,1.061,1914,203434.0,0.75,-0.28,-0.003,5.1,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-11-07,1.066,1.093,1.066,1.093,4315,467346.0,2.54,3.02,0.032,11.5,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-11-08,1.082,1.082,1.074,1.079,2144,231128.0,0.73,-1.28,-0.014,5.72,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-11-11,1.067,1.074,1.057,1.071,3904,414632.0,1.58,-0.74,-0.008,10.41,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-11-12,1.074,1.082,1.067,1.068,105,11292.0,1.4,-0.28,-0.003,0.28,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-11-13,1.069,1.073,1.053,1.072,57,6044.0,1.87,0.37,0.004,0.15,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-11-14,1.067,1.071,1.057,1.057,1472,156649.0,1.31,-1.4,-0.015,3.92,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-11-15,1.075,1.075,1.055,1.055,725,76691.0,1.89,-0.19,-0.002,1.93,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-11-18,1.069,1.083,1.064,1.064,1505,162056.0,1.8,0.85,0.009,4.01,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-11-19,1.072,1.072,1.056,1.066,1808,192411.0,1.5,0.19,0.002,4.82,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-11-20,1.064,1.07,1.063,1.07,725,77363.0,0.66,0.38,0.004,1.93,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-11-21,1.069,1.069,1.068,1.069,54,5769.0,0.09,-0.09,-0.001,0.14,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-11-22,1.063,1.063,1.039,1.039,4052,425283.0,2.25,-2.81,-0.03,10.8,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-11-25,1.04,1.052,1.036,1.043,2401,250491.0,1.54,0.38,0.004,6.4,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-11-26,1.045,1.045,1.044,1.044,96,10023.0,0.1,0.1,0.001,0.26,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-11-27,1.037,1.049,1.034,1.049,249,25892.0,1.44,0.48,0.005,0.66,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-11-29,1.054,1.063,1.054,1.06,9617,1019727.0,0.86,1.05,0.011,25.64,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-12-02,1.06,1.066,1.059,1.063,10734,1138732.0,0.66,0.28,0.003,28.62,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-12-03,1.066,1.073,1.062,1.073,2928,313850.0,1.03,0.94,0.01,7.81,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-12-04,1.068,1.074,1.066,1.071,7127,762858.0,0.75,-0.19,-0.002,19.0,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-12-05,1.07,1.072,1.068,1.071,5374,575354.0,0.37,0.0,0.0,14.33,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-12-06,1.072,1.104,1.072,1.094,11249,1207599.0,2.99,2.15,0.023,29.99,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-12-09,1.088,1.093,1.082,1.085,698,75736.0,1.01,-0.82,-0.009,1.86,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-12-10,1.137,1.137,1.094,1.098,112,12311.0,3.96,1.2,0.013,0.3,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-12-11,1.092,1.094,1.086,1.091,836,91218.0,0.73,-0.64,-0.007,2.23,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-12-12,1.088,1.102,1.088,1.1,1300,142046.0,1.28,0.82,0.009,3.47,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-12-13,1.095,1.095,1.079,1.08,1845,199827.0,1.45,-1.82,-0.02,4.92,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-12-16,1.102,1.102,1.083,1.088,5902,646037.0,1.76,0.74,0.008,15.73,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-12-17,1.09,1.093,1.084,1.084,1232,133645.0,0.83,-0.37,-0.004,3.28,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-12-18,1.107,1.107,1.089,1.091,15685,1714756.0,1.66,0.65,0.007,41.82,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-12-19,1.089,1.09,1.075,1.081,7970,859783.0,1.37,-0.92,-0.01,21.25,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-12-20,1.076,1.079,1.073,1.073,1094,117670.0,0.56,-0.74,-0.008,2.92,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-12-23,1.068,1.084,1.068,1.073,5361,578016.0,1.49,0.0,0.0,14.29,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-12-24,1.077,1.085,1.077,1.085,444,48084.0,0.75,1.12,0.012,1.18,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-12-25,1.085,1.091,1.085,1.091,1428,155513.0,0.55,0.55,0.006,3.81,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-12-26,1.086,1.087,1.083,1.087,4731,513314.0,0.37,-0.37,-0.004,12.61,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-12-27,1.087,1.091,1.082,1.091,2204,240258.0,0.83,0.37,0.004,5.88,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-12-30,1.092,1.1,1.091,1.1,1783,195225.0,0.82,0.82,0.009,4.75,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2024-12-31,1.099,1.101,1.091,1.091,4674,512799.0,0.91,-0.82,-0.009,12.46,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-01-02,1.091,1.099,1.063,1.064,3648,396123.0,3.3,-2.47,-0.027,9.73,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-01-03,1.068,1.073,1.058,1.058,5818,620598.0,1.41,-0.56,-0.006,15.51,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-01-06,1.055,1.064,1.053,1.064,645,68224.0,1.04,0.57,0.006,1.72,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-01-07,1.057,1.059,1.052,1.059,1708,180122.0,0.66,-0.47,-0.005,4.55,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-01-08,1.061,1.061,1.048,1.061,3764,398118.0,1.23,0.19,0.002,10.03,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-01-09,1.05,1.053,1.047,1.047,6576,690774.0,0.57,-1.32,-0.014,17.53,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-01-10,1.046,1.046,1.035,1.035,1148,119338.0,1.05,-1.15,-0.012,3.06,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-01-13,1.028,1.028,1.022,1.023,1253,128577.0,0.58,-1.16,-0.012,3.34,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-01-14,1.026,1.041,1.026,1.038,1357,140306.0,1.47,1.47,0.015,3.62,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-01-15,1.042,1.042,1.038,1.038,88,9150.0,0.39,0.0,0.0,0.23,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-01-16,1.062,1.062,1.044,1.045,381,39963.0,1.73,0.67,0.007,1.02,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-01-17,1.065,1.065,1.038,1.047,328,34535.0,2.58,0.19,0.002,0.87,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-01-20,1.068,1.068,1.043,1.044,396,41425.0,2.39,-0.29,-0.003,1.06,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-01-21,1.047,1.047,1.036,1.036,1471,152454.0,1.05,-0.77,-0.008,3.92,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-01-22,1.025,1.026,1.025,1.025,409,41953.0,0.1,-1.06,-0.011,1.09,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-01-23,1.041,1.041,1.037,1.037,1133,117542.0,0.39,1.17,0.012,3.02,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-01-24,1.044,1.045,1.043,1.044,435,45405.0,0.19,0.68,0.007,1.16,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-01-27,1.051,1.059,1.051,1.058,1432,151404.0,0.77,1.34,0.014,3.82,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-02-05,1.059,1.06,1.036,1.038,1259,131645.0,2.27,-1.89,-0.02,3.36,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-02-06,1.038,1.04,1.034,1.036,1193,123589.0,0.58,-0.19,-0.002,3.18,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-02-07,1.036,1.046,1.036,1.043,1908,199204.0,0.97,0.68,0.007,5.09,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-02-10,1.045,1.045,1.043,1.045,653,68236.0,0.19,0.19,0.002,1.74,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-02-11,1.048,1.05,1.046,1.048,1106,116012.0,0.38,0.29,0.003,2.95,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-02-12,1.048,1.051,1.044,1.049,1429,149824.0,0.67,0.1,0.001,3.81,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-02-13,1.051,1.053,1.051,1.051,1791,188385.0,0.19,0.19,0.002,4.77,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-02-14,1.047,1.054,1.047,1.05,3171,332492.0,0.67,-0.1,-0.001,8.45,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-02-17,1.048,1.051,1.044,1.049,431,45057.0,0.67,-0.1,-0.001,1.15,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-02-18,1.049,1.056,1.049,1.051,4052,425905.0,0.67,0.19,0.002,10.8,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-02-19,1.048,1.049,1.048,1.049,1122,117588.0,0.1,-0.19,-0.002,2.99,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-02-20,1.042,1.046,1.042,1.045,577,60186.0,0.38,-0.38,-0.004,1.54,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-02-21,1.042,1.042,1.039,1.041,181,18826.0,0.29,-0.38,-0.004,0.48,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-02-24,1.037,1.045,1.037,1.044,1823,189974.0,0.77,0.29,0.003,4.86,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-02-25,1.037,1.039,1.034,1.035,259,26823.0,0.48,-0.86,-0.009,0.69,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-02-26,1.039,1.043,1.033,1.041,5541,575772.0,0.97,0.58,0.006,14.77,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-02-27,1.045,1.048,1.036,1.048,39923,4153880.0,1.15,0.67,0.007,106.43,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-02-28,1.068,1.068,1.043,1.043,4585,478706.0,2.39,-0.48,-0.005,12.22,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-03-03,1.047,1.048,1.039,1.039,3088,322385.0,0.86,-0.38,-0.004,8.23,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-03-04,1.039,1.044,1.038,1.043,5362,558704.0,0.58,0.38,0.004,14.29,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-03-05,1.04,1.048,1.04,1.048,6140,642843.0,0.77,0.48,0.005,16.37,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-03-06,1.041,1.046,1.041,1.046,1551,161716.0,0.48,-0.19,-0.002,4.13,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-03-07,1.045,1.047,1.045,1.046,4240,443784.0,0.19,0.0,0.0,11.3,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-03-10,1.044,1.044,1.044,1.044,1406,146786.0,0.0,-0.19,-0.002,3.75,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-03-11,1.045,1.051,1.045,1.05,310,32463.0,0.57,0.57,0.006,0.83,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-03-12,1.05,1.05,1.046,1.046,296,31012.0,0.38,-0.38,-0.004,0.79,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-03-13,1.048,1.048,1.043,1.048,272,28448.0,0.48,0.19,0.002,0.73,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-03-14,1.058,1.058,1.049,1.056,1508,158800.0,0.86,0.76,0.008,4.02,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-03-17,1.059,1.062,1.059,1.062,998,105926.0,0.28,0.57,0.006,2.66,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-03-18,1.065,1.065,1.06,1.06,274,29056.0,0.47,-0.19,-0.002,0.73,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-03-19,1.057,1.06,1.056,1.059,1702,179931.0,0.38,-0.09,-0.001,4.54,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-03-20,1.061,1.061,1.056,1.056,844,89308.0,0.47,-0.28,-0.003,2.25,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-03-21,1.061,1.061,1.055,1.057,405,42886.0,0.57,0.09,0.001,1.08,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-03-24,1.06,1.061,1.056,1.061,403,42715.0,0.47,0.38,0.004,1.07,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-03-25,1.062,1.071,1.06,1.069,10576,1130123.0,1.04,0.75,0.008,28.2,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-03-26,1.071,1.071,1.062,1.071,4645,494378.0,0.84,0.19,0.002,12.38,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-03-27,1.067,1.068,1.067,1.068,266,28402.0,0.09,-0.28,-0.003,0.71,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
2025-03-28,1.068,1.068,1.061,1.062,295,31339.0,0.66,-0.56,-0.006,0.79,560520,红利低波100ETF基金,2025-10-10 19:34:04,0.10%
