日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,ETF代码,ETF名称,爬取时间
2025-09-03,0.991,0.992,0.925,0.928,772116,73589864.0,6.8,-5.88,-0.058,8.51,563320,通用航空ETF,2025-10-03 18:23:41
2025-09-04,0.931,0.932,0.888,0.899,395620,35974832.0,4.74,-3.13,-0.029,4.36,563320,通用航空ETF,2025-10-03 18:23:41
2025-09-05,0.904,0.914,0.892,0.914,241011,21822817.0,2.45,1.67,0.015,2.66,563320,通用航空ETF,2025-10-03 18:23:41
2025-09-08,0.915,0.933,0.91,0.933,201590,18567838.0,2.52,2.08,0.019,2.22,563320,通用航空ETF,2025-10-03 18:23:41
2025-09-09,0.933,0.933,0.906,0.91,194954,17851397.0,2.89,-2.47,-0.023,2.15,563320,通用航空ETF,2025-10-03 18:23:41
2025-09-10,0.909,0.925,0.909,0.916,143513,13184467.0,1.76,0.66,0.006,1.58,563320,通用航空ETF,2025-10-03 18:23:41
2025-09-11,0.92,0.929,0.907,0.929,274656,25335807.0,2.4,1.42,0.013,3.03,563320,通用航空ETF,2025-10-03 18:23:41
2025-09-12,0.928,0.936,0.925,0.926,156324,14549165.0,1.18,-0.32,-0.003,1.72,563320,通用航空ETF,2025-10-03 18:23:41
2025-09-15,0.926,0.926,0.916,0.916,201284,18524396.0,1.08,-1.08,-0.01,2.22,563320,通用航空ETF,2025-10-03 18:23:41
2025-09-16,0.915,0.92,0.908,0.918,169937,15525129.0,1.31,0.22,0.002,1.87,563320,通用航空ETF,2025-10-03 18:23:41
2025-09-17,0.915,0.924,0.912,0.919,144847,13333978.0,1.31,0.11,0.001,1.6,563320,通用航空ETF,2025-10-03 18:23:41
2025-09-18,0.919,0.933,0.904,0.914,369105,34101878.0,3.16,-0.54,-0.005,4.07,563320,通用航空ETF,2025-10-03 18:23:41
2025-09-19,0.912,0.932,0.912,0.92,175192,16203734.0,2.19,0.66,0.006,1.93,563320,通用航空ETF,2025-10-03 18:23:41
2025-09-22,0.917,0.929,0.917,0.929,186518,17255822.0,1.3,0.98,0.009,2.06,563320,通用航空ETF,2025-10-03 18:23:41
2025-09-23,0.928,0.93,0.901,0.916,277392,25264992.0,3.12,-1.4,-0.013,3.06,563320,通用航空ETF,2025-10-03 18:23:41
2025-09-24,0.914,0.934,0.907,0.932,384538,35582789.0,2.95,1.75,0.016,4.24,563320,通用航空ETF,2025-10-03 18:23:41
2025-09-25,0.934,0.939,0.929,0.93,138069,12887315.0,1.07,-0.21,-0.002,1.52,563320,通用航空ETF,2025-10-03 18:23:41
2025-09-26,0.93,0.94,0.924,0.926,173361,16156650.0,1.72,-0.43,-0.004,1.91,563320,通用航空ETF,2025-10-03 18:23:41
2025-09-29,0.926,0.928,0.913,0.926,117066,10767135.0,1.62,0.0,0.0,1.29,563320,通用航空ETF,2025-10-03 18:23:41
2025-09-30,0.926,0.953,0.926,0.949,304503,28738482.0,2.92,2.48,0.023,3.36,563320,通用航空ETF,2025-10-03 18:23:41
