合约代码,最新价,开盘价,最高价,最低价,成交量,日期,数据源,更新时间
IC01,6838.044980000001,6824.36889004,6872.2352049,6803.8547551,50000.0,2026-05-14,外盘估算 (SPY),2026-05-14 10:41:37
IC03,6858.55911494,6844.84199671012,6892.851910514699,6824.2663193653,50000.0,2026-05-14,外盘估算 (SPY),2026-05-14 10:41:37
IC06,6892.749339840001,6878.963841160321,6927.2130865392,6858.285593140801,50000.0,2026-05-14,外盘估算 (SPY),2026-05-14 10:41:37
IC09,6926.93956474,6913.085685610519,6961.5742625636985,6892.3048669163,50000.0,2026-05-14,外盘估算 (SPY),2026-05-14 10:41:37
IF01,4223.49837,4215.05137326,4244.615861849999,4202.38087815,50000.0,2026-05-14,外盘估算 (SPY),2026-05-14 10:41:37
IF03,4236.168865109999,4227.69652737978,4257.349709435549,4214.988020784449,50000.0,2026-05-14,外盘估算 (SPY),2026-05-14 10:41:37
IF06,4257.28635696,4248.771784246081,4278.5727887448,4235.999925175201,50000.0,2026-05-14,外盘估算 (SPY),2026-05-14 10:41:37
IF09,4278.4038488099995,4269.84704111238,4299.795868054049,4257.0118295659495,50000.0,2026-05-14,外盘估算 (SPY),2026-05-14 10:41:37
IH01,3419.0224900000003,3412.18444502,3436.11760245,3401.92737755,50000.0,2026-05-14,外盘估算 (SPY),2026-05-14 10:41:37
IH03,3429.27955747,3422.42099835506,3446.4259552573494,3412.13315968265,50000.0,2026-05-14,外盘估算 (SPY),2026-05-14 10:41:37
IH06,3446.3746699200005,3439.4819205801605,3463.6065432696,3429.1427965704006,50000.0,2026-05-14,外盘估算 (SPY),2026-05-14 10:41:37
IH09,3463.46978237,3456.5428428052596,3480.7871312818493,3446.15243345815,50000.0,2026-05-14,外盘估算 (SPY),2026-05-14 10:41:37
