序号,股票代码,股票名称,调入日期,最新评级日期,当前评级名称,成交价格(前复权),最新价格,阶段涨跌幅
1,300040,九洲集团,2025-09-11,2025-09-11,买入,7.28,6.36,-12.64
2,002812,恩捷股份,2025-06-09,2025-06-09,买入,28.14,48.52,72.42
3,600025,华能水电,2025-06-06,2025-06-06,买入,9.5359820486,9.84,3.14
4,601168,西部矿业,2025-05-13,2025-05-13,买入,15.0115151612,23.97,59.69
5,688411,海博思创,2025-05-06,2025-05-06,买入,74.0863742445,274.85,270.97
6,001283,豪鹏科技,2025-05-06,2025-05-06,买入,56.9500396515,75.64,32.82
7,300207,欣旺达,2025-05-06,2025-05-06,买入,19.2137650941,35.85,86.62
8,300014,亿纬锂能,2025-05-06,2025-05-06,买入,41.9138969592,83.18,98.47
9,002706,良信股份,2025-05-06,2025-05-06,买入,8.2578840012,10.6,28.33
10,603659,璞泰来,2025-05-06,2025-05-06,买入,16.8854994016,29.23,73.06
11,002506,协鑫集成,2024-05-17,2025-10-13,买入,2.34,2.49,6.41
12,603806,福斯特,2024-05-07,2025-09-16,买入,19.0300059712,15.7,-17.5
