序号,股票代码,股票简称,交易日期,所属行业,质押比例,质押股数,质押市值,质押笔数,无限售股质押数,限售股质押数,近一年涨跌幅,所属行业代码
1,000567,海德股份,2024-09-06,多元金融,75.09,146779.06,672248.0948,8,146779.06,0.0,-41.6029461,016058
2,000688,国城矿业,2024-09-06,有色金属,70.15,78404.69,709562.4445,9,78404.69,0.0,-32.06596184,016032
3,002485,ST雪发,2024-09-06,纺织服装,68.5,37266.2,111798.6,7,37266.2,0.0,-42.85714286,016010
4,000020,深华发A,2024-09-06,光学光电子,64.09,11610.0,131425.2,2,11610.0,0.0,-6.83127572,016079
5,603132,金徽股份,2024-09-06,有色金属,60.7,59360.0,625060.8,12,0.0,59360.0,-17.03478026,016032
6,002336,人乐退,2024-09-06,商业百货,57.92,25485.41,76965.9382,4,25485.41,0.0,-81.01822753,016036
7,600280,中央商场,2024-09-06,商业百货,56.89,64190.0,169461.6,10,64190.0,0.0,-45.11434511,016036
8,300134,大富科技,2024-09-06,通信设备,55.24,42394.64,312448.4968,11,42394.64,0.0,-23.30905307,016015
9,600682,南京新百,2024-09-06,商业百货,53.9,72551.24,362756.2,37,54477.35,18073.89,-36.72106742,016036
10,301055,张小泉,2024-09-06,通用设备,53.48,8342.63,92603.193,10,0.0,8342.63,-27.21255729,016043
11,000048,京基智农,2024-09-06,农牧饲渔,53.33,28295.83,373221.9977,6,28295.83,0.0,-31.0507057,016009
12,300715,凯伦股份,2024-09-06,装修建材,52.91,20366.72,131976.3456,21,20366.72,0.0,-52.55757497,016030
13,600180,瑞茂通,2024-09-06,物流行业,50.7,55087.5,195560.625,39,55087.5,0.0,-42.360425,016003
14,603766,隆鑫通用,2024-09-06,交运设备,50.06,102805.71,690854.3712,31,102805.71,0.0,24.15050973,016008
15,600400,红豆股份,2024-09-06,纺织服装,49.93,114671.3,246543.295,16,114671.3,0.0,-29.64016957,016010
16,300267,尔康制药,2024-09-06,化学制药,49.32,101720.98,224803.3658,13,101720.98,0.0,-31.57894737,016024
17,603567,珍宝岛,2024-09-06,中药,48.46,45644.0,479718.44,8,45644.0,0.0,-13.04556784,016081
18,002015,协鑫能科,2024-09-06,电力行业,47.97,77870.63,532635.1092,9,77870.63,0.0,-42.14925361,016007
19,600655,豫园股份,2024-09-06,珠宝首饰,47.94,186785.31,954472.9341,36,186785.31,0.0,-28.55283971,016054
20,000712,锦龙股份,2024-09-06,证券,47.73,42770.0,429410.8,36,42770.0,0.0,-28.89518414,016027
21,600545,卓郎智能,2024-09-06,专用设备,47.49,84910.83,112931.4039,12,84910.83,0.0,-47.43083004,016061
22,000042,中洲控股,2024-09-06,房地产开发,47.11,31320.0,114944.4,10,31320.0,0.0,-49.09847434,016017
23,600241,时代万恒,2024-09-06,电池,46.8,13773.5,77131.6,10,13773.5,0.0,-29.20353982,016074
24,600137,浪莎股份,2024-09-06,纺织服装,46.67,4537.23,52541.1234,10,4537.23,0.0,-32.1192615,016010
25,300997,欢乐家,2024-09-06,食品饮料,46.48,20800.0,243360.0,33,20800.0,0.0,-13.98027912,016012
26,000078,海王生物,2024-09-06,医药商业,46.15,121431.89,268364.4769,11,121431.89,0.0,-27.54098361,016083
27,000639,西王食品,2024-09-06,食品饮料,45.89,49537.94,114432.6414,11,49537.94,0.0,-47.38041002,016012
28,603223,恒通股份,2024-09-06,物流行业,45.84,32735.07,284467.7583,4,16635.41,16099.66,-14.16000347,016003
