SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
600519.SH,600519,贵州茅台,10002602,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-03 00:00:00,2025-04-03 00:00:00,CNY,174144069958.25,15.663979743,170899152276.34,15.7119512948,3244917681.91,13.1924867952,,,,,,,,,54523971452.57,16.1050654483,13789482367.98,16.1975575874,105127802.03,-7.3764919081,94078.17,37.1830442075,218375472.87,38.7639790346,,,,,,,,,,,,,26926161474.99,21.1025836882,5639300059.49,21.3114395374,9315650060.38,-4.2524682814,,,-1470219863.34,17.8420328427,14474584.09,14.6535461379,1476991223.18,-23.956661566,,,,,,,60980724.35,1834.6906681155,9130340.37,-73.1665520337,,,,,,,388852.05,181.055260344,,,-23248436.03,-161.3880172256,21229466.81,-38.7226321106,,,0.0,,119688579453.23,15.4084769615,70936575.97,-18.2566752617,,,120937834.74,-8.9879848091,,,,,0.0,,119638578194.46,15.411567568,30303850168.56,15.9242585565,,,,,,,89334728025.9,15.2386826404,,,89334728025.9,15.2386826404,,,86228146421.62,15.3799661016,3106581604.28,11.4506829286,86240905977.42,15.3684915564,,,,,68.64,15.3807362582,68.64,15.3807362582,-3854497.18,-181.7465574409,-3854497.18,-181.7465574409,,,,,,,,,,,,,,,,,,,,,-3854497.18,-181.7465574409,,,,,,,,,,,,,,,-3854497.18,-181.7465574409,,,,,,,,,89330873528.72,15.2267019044,86224291924.44,15.3675296273,3106581604.28,11.4506829286,,,,,,,,,,,标准无保留意见
600519.SH,600519,贵州茅台,10002602,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-03 00:00:00,2025-04-03 00:00:00,CNY,150560330316.45,18.0365792459,147693604994.14,19.0119185529,2866725322.31,-17.0055184139,,,,,,,,,46960889468.54,18.1456266222,11867273851.78,17.5737925437,113500129.93,7.4972611642,68578.57,-52.0903684752,157371873.01,16.4116440028,,,,,,,,,,,,,22234175898.6,20.2119055043,4648613585.82,40.9642928475,9729389252.31,7.9580889133,,,-1789503701.48,-28.5742355094,12624628.35,5.0021902771,1942301920.98,31.6437955552,,,,,,,3151962.5,,34025967.82,-46.7011782268,,,,,,,-479736.97,-324.9796785895,,,37871293.26,357.8638477375,34644873.86,41.3767542405,,,0.0,,103708655208.38,18.0123117479,86779655.95,22.4796849672,,,132881174.52,-46.6092621953,,,,,0.0,,103662553689.81,18.1993076599,26141077412.01,17.0909328034,,,,,,,77521476277.8,18.5778097415,,,77521476277.8,18.5778097415,,,74734071550.75,19.1598992892,2787404727.05,4.8459336455,74752564425.52,19.0462109566,,,,,59.49,19.1468055277,59.49,19.1468055277,4715179.82,110.40766101,4715179.82,110.40766101,,,,,,,,,,,,,,,,,,,,,4715179.82,110.40766101,,,,,,,,,,,,,,,4715179.82,110.40766101,,,,,,,,,77526191457.62,18.5809573963,74738786730.57,19.1631595692,2787404727.05,4.8459336455,,,,,,,,,,,标准无保留意见
600519.SH,600519,贵州茅台,10002602,通用,2022-12-31 00:00:00,年报,2022年报,058001001,2023-03-31 00:00:00,2024-04-03 00:00:00,CNY,127553959355.97,16.5256474801,124099843771.99,16.8656773828,3454115583.98,5.4974056949,,,,,,,,,39748309616.85,14.2951407303,10093468616.63,12.3571648678,105584206.24,-39.2835494381,143141.51,24.3820586552,135185680.4,118.3117970832,,,,,,,,,,,,,18495818534.22,20.852402325,3297724190.94,20.4705564781,9012191073.63,6.649689753,,,-1391805826.72,-48.9321527695,12023204.77,-11.1358293867,1475422303.64,56.1990285682,,,,,,,,,63840000.0,9.5853965453,,,,,,,213235.69,,,,-14686546.25,-12.7787488975,24505353.83,19.445602991,,,0.0,,87879521782.39,17.5631923909,70852285.4,2.7005170765,,,248884319.61,-14.7183601189,,,,,0.0,,87701489748.18,17.6758429258,22325449790.3,18.7050245351,,,,,,,65376039957.88,17.3284604597,,,65376039957.88,17.3284604597,,,62717467870.12,19.5526024824,2658572087.76,-18.4583533477,62792896829.57,19.4770176205,,,,,49.93,19.5641762452,49.93,19.5641762452,2240973.45,129.154617201,2240973.45,129.154617201,,,,,,,,,,,,,,,,,,,,,2240973.45,129.154617201,,,,,,,,,,,,,,,2240973.45,129.154617201,,,,,,,,,65378280931.33,17.3486702356,62719708843.57,19.5743944065,2658572087.76,-18.4583533477,,,,,,,,,,,标准无保留意见
600519.SH,600519,贵州茅台,10002602,通用,2021-12-31 00:00:00,年报,2021年报,058001001,2022-03-31 00:00:00,2023-03-31 00:00:00,CNY,109464278563.89,11.705948292,106190154843.76,11.878763819,3274123720.13,6.3766435814,,,,,,,,,34776902467.47,11.0901050874,8983377809.96,10.1714027903,173897197.98,56.4829360571,115082.12,8.6818871391,61923213.59,22.8683061866,,,,,,,,,,,,,15304469070.03,10.2109963899,2737369434.78,7.442806693,8450274065.03,24.4546075708,,,-934523406.02,-298.3296048715,13529867.76,,944578412.02,238.925760453,,,,,,,-2244726.29,-145.829498626,58255937.39,18960.8445184275,,,,,,,,,,,-13022441.19,81.7540829953,20515911.19,56.1552196422,,,0.0,,74750880777.52,12.179471998,68989219.74,524.2726431345,,,291838102.5,-35.0300019179,,,,,0.0,,74528031894.76,12.5853093105,18807501938.3,12.7980057091,,,,,,,55720529956.46,12.5136982686,,,55720529956.46,12.5136982686,,,52460144378.16,12.3408864034,3260385578.3,15.3692248298,52556464900.24,11.7832112058,,,,,41.76,12.3486682809,41.76,12.3486682809,-7686513.03,-511.6259083896,-7686513.03,-511.6259083896,,,,,,,,,,,,,,,,,,,,,-7686513.03,-511.6259083896,,,,,,,,,,,,,,,-7686513.03,-511.6259083896,,,,,,,,,55712843443.43,12.4939355162,52452457865.13,12.319934599,3260385578.3,15.3692248298,,,,,,,,,,,标准无保留意见
600519.SH,600519,贵州茅台,10002602,通用,2020-12-31 00:00:00,年报,2020年报,058001001,2021-03-31 00:00:00,2022-03-31 00:00:00,CNY,97993240501.21,10.2852638045,94915380916.72,11.1036577434,3077859584.49,-10.121619562,,,,,,,,,31305130587.56,5.0075972202,8154001476.28,9.7440938403,111128537.31,-23.7554835409,105888.96,44.6997474665,50398036.33,3.5104456034,,,,,,,,,,,,,13886517290.78,9.0567690876,2547745650.95,-22.3009253538,6789844289.39,10.0820877891,,,-234610582.44,-3245.7507349884,,,278697733.32,1248.5022446968,,,,,,,4897994.43,134.939573081,305631.46,,,,,,,,,,,,-71371809.85,-1243.2190996207,13138152.69,-30.0004364452,,,0.0,,66635079882.38,12.8614482787,11051136.15,16.8881843582,,,449189027.42,67.3630903658,,,,,0.0,,66196941991.11,12.6132499639,16673612108.71,12.5640823302,,,,,,,49523329882.4,12.629813486,,,49523329882.4,12.629813486,,,46697285429.81,13.3251265644,2826044452.59,2.2621313874,47016420742.73,13.5472844134,,,,,37.17,13.3231707317,37.17,13.3231707317,1867354.04,1504.0668714396,1867354.04,1504.0668714396,,,,,,,,,,,,,,,,,,,,,1867354.04,1504.0668714396,,,,,,,,,,,,,,,1867354.04,1504.0668714396,,,,,,,,,49525197236.44,12.6344010533,46699152783.85,13.330024044,2826044452.59,2.2621313874,,,,,,,,,,,标准无保留意见
600519.SH,600519,贵州茅台,10002602,通用,2019-12-31 00:00:00,年报,2019年报,058001001,2020-04-22 00:00:00,2021-03-31 00:00:00,CNY,88854337488.76,15.0972103118,85429573467.25,16.0115176901,3424471568.68,-3.7970977131,,,292452.83,-66.6666666667,,,,,29812253033.37,15.2621368712,7430013945.12,13.9062238436,145752825.87,6.9213612788,73178.4,-41.168937195,48688841.05,121.7806095511,,,,,,,,,,,,,12733292400.79,12.7945337356,3278990982.26,27.4841750552,6167982844.22,15.8102036724,,,7458015.66,311.8026840456,,,20667205.74,43.4144649991,,,,,,,-14018472.46,,,,,,,,,,-32123.57,,,,-5313489.8,,18768906.58,94.8167280197,,,0.0,,59041489276.14,14.9942610328,9454451.03,-18.6330755618,,,268391929.45,-49.0721034814,,,,,0.0,,58782551797.72,15.6508428702,14812551005.21,13.9603578411,,,,,,,43970000792.51,16.2316814174,,,43970000792.51,16.2316814174,,,41206471014.43,17.0517828954,2763529778.08,5.2375353252,41406909012.08,16.3591198159,,,,,32.8,17.0592433976,32.8,17.0592433976,-132996.09,-139.5997656101,-132996.09,-139.5997656101,,,,,,,,,,,,,,,,,,,,,-132996.09,-139.5997656101,,,,,,,,,,,,,,,-132996.09,-139.5997656101,,,,,,,,,43969867796.42,16.2302979607,41206338018.34,17.0502884178,2763529778.08,5.2375353252,,,,,,,,,,,标准无保留意见
600519.SH,600519,贵州茅台,10002602,通用,2018-12-31 00:00:00,年报,2018年报,058001001,2019-03-29 00:00:00,2020-04-22 00:00:00,CNY,77199384110.22,26.4262998794,73638872388.03,26.4884534158,3559634363.7,25.1492824208,,,877358.49,50.0,,,,,25864740879.03,16.9146767883,6522921833.77,9.8054322162,136317779.84,0.8358615234,124387.35,65.018108732,21953605.93,17.1030557334,,,,,,,,,,,,,11288926846.97,34.324592576,2572076872.16,-13.8641048118,5325940762.24,13.2746136236,,,-3521209.23,93.6807951015,,,14410823.72,-76.2540091535,,,,,,,,,,,,,,,,,,,-1289685.01,,,,9634135.0,,,,0.0,,51342987681.18,31.8515093688,11619526.11,-4.7735195296,,,527003759.82,148.4256930303,,,,,0.0,,50827603447.47,31.2016231162,12997985690.66,33.5366193643,,,,,,,37829617756.81,30.4180713665,,,37829617756.81,30.4180713665,,,35203625263.22,30.0016873765,2625992493.59,36.2691578059,35585443648.6,30.7130999692,,,,,28.02,29.9628942486,28.02,29.9628942486,335850.7,-91.2522140044,335850.7,-91.2522140044,,,,,,,,,,,,,,,,,,,,,335850.7,-91.2522140044,,,,,,,,,,,,,,,335850.7,-91.2522140044,,,,,,,,,37829953607.51,30.4019693238,35203961113.92,29.9844986437,2625992493.59,36.2691578059,,,,,,,,,,,标准无保留意见
600519.SH,600519,贵州茅台,10002602,通用,2017-12-31 00:00:00,年报,2017年报,058001001,2018-03-28 00:00:00,2019-03-29 00:00:00,CNY,61062756866.16,52.0673104263,58217861314.17,49.8059201589,2844310646.33,120.0247729096,,,584905.66,241.034111069,,,,,22122749332.71,39.2290888801,5940436371.97,74.2010279513,135187797.06,9.9435939802,75378.0,2.4245003514,18747252.83,,,,,,,,,,,,,,8404214470.69,29.1182912124,2986068544.99,77.6309420715,4701795567.31,12.2900022808,,,-55722346.19,-67.9639172402,880974.99,,60687396.93,,-8053703.95,-165.3312222228,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,38940007533.45,60.4739513677,12201990.51,42.6478370799,,,212137381.36,-32.9311950892,,,,,0.0,,38740072142.6,61.7007456208,9733648906.6,61.4943553468,,,,,,,29006423236.0,61.7701220098,,,29006423236.0,61.7701220098,,,27079360255.74,61.9737571575,1927062980.26,58.9618225995,27224083628.17,60.5696429655,,,,,21.56,61.9834710744,21.56,61.9834710744,3839265.16,114.0972875089,3839265.16,114.0972875089,,,,,,,,,,,,,,,,,,,,,3839265.16,114.0972875089,,,,,,,,,,,,,,,3839265.16,114.0972875089,,,,,,,,,29010262501.16,61.775354698,27083199520.9,61.9793473974,1927062980.26,58.9618225995,,,,,,,,,,,标准无保留意见
600519.SH,600519,贵州茅台,10002602,通用,2016-12-31 00:00:00,年报,2016年报,058001001,2017-04-15 00:00:00,2018-03-28 00:00:00,CNY,40155084412.93,20.0563686958,38862189993.84,18.9916880776,1292722909.66,64.3545357522,,,171509.43,-76.5055575342,,,,,15889459243.51,40.7175897265,3410104085.97,34.3440009221,122961049.54,65.8059341914,73593.72,18.3695836268,,,,,,,0.0,,,,,,,,6508926343.26,88.7098965961,1681052022.9,13.2050899066,4187189840.42,9.8177888035,,,-33175188.52,50.6811859021,,,,,12327496.22,2381.5455711731,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,24265625169.42,9.5068999983,8553926.06,77.3502164956,,,316298138.37,95.1250941896,,,0.0,,0.0,,23957880957.11,8.8909705412,6027237847.23,8.6631316391,,,,,,,17930643109.88,8.9677714209,,,17930643109.88,,,,16718362734.16,7.8389046062,1212280375.72,27.3529036966,16954689021.77,8.5665238648,,,,,13.31,7.8606158833,13.31,7.8606158833,1793233.91,114.4440544745,1793233.91,114.4440544745,,,,,,,,,,,,,,,,,,,,,1793233.91,114.4440544745,,,,,,,,,,,,,,,1793233.91,114.4440544745,,,,,,,,,17932436343.79,9.0609539722,16720155968.07,7.936908519,1212280375.72,27.3529036966,,,,,,,,,,,标准无保留意见
600519.SH,600519,贵州茅台,10002602,通用,2015-12-31 00:00:00,年报,2015年报,058001001,2016-03-24 00:00:00,2017-04-15 00:00:00,CNY,33446859045.58,3.8167338566,32659583725.28,3.4384545885,786545320.3,22.3081028607,,,730000.0,265.0,,,,,11291736359.61,11.6078049796,2538337449.06,8.5431943406,74159619.28,25.2330533989,62172.83,-18.782217185,,,,,,,,,,,,,,,3449170637.4,23.6707607881,1484961519.21,-11.331470792,3812852076.19,12.856373839,,,-67266800.97,45.3864904633,,,,,-540313.39,-224.8569691755,,,,,,,3869276.9,25.0062906553,,,,,,,,,,,,,,,,,0.0,,22158991962.87,0.2534442373,4823183.32,-26.5044575996,205859.28,-87.4084321265,162100184.85,-28.6510042602,188439.42,-99.782789987,,,0.0,,22001714961.34,0.5455198608,5546718336.12,-1.1803480231,,,,,,,16454996625.22,1.140948286,,,,,,,15503090276.38,0.9986182944,951906348.84,3.5167806896,15616866431.94,0.6187367923,,,,,12.34,0.9819967267,12.34,0.9819967267,-12415031.48,-1905.5168421876,-12415031.48,-1905.5168421876,,,,,,,,,,,,,,,,,,,,,-12415031.48,-1905.5168421876,,,,,,,,,,,,,,,-12415031.48,-1905.5168421876,,,,,,,,,16442581593.74,1.0684846811,15490675244.9,0.9218076664,951906348.84,3.5167806896,,,,,,,,,,,标准无保留意见
