date,open,high,low,close,volume,amount,outstanding_share,turnover
2016-09-05,6.04,7.24,6.04,7.24,28800.0,206832.0,99700000.0,0.0002888665997993982
2016-09-06,7.96,7.96,7.96,7.96,12885.0,102565.0,99700000.0,0.00012923771313941824
2016-09-07,8.76,8.76,8.76,8.76,14000.0,122640.0,99700000.0,0.0001404212637913741
2016-09-08,9.64,9.64,9.64,9.64,12731.0,122727.0,99700000.0,0.00012769307923771314
2016-09-09,10.6,10.6,10.6,10.6,48900.0,518340.0,99700000.0,0.0004904714142427281
2016-09-12,11.66,11.66,11.66,11.66,117343.0,1368219.0,99700000.0,0.0011769608826479438
2016-09-13,12.83,12.83,12.83,12.83,72242.0,926865.0,99700000.0,0.0007245937813440321
2016-09-14,14.11,14.11,14.11,14.11,87349.0,1232494.0,99700000.0,0.0008761183550651956
2016-09-19,15.52,15.52,15.52,15.52,224000.0,3476480.0,99700000.0,0.0022467402206619858
2016-09-20,17.07,17.07,17.07,17.07,364462.0,6221366.0,99700000.0,0.0036555867602808424
2016-09-21,18.78,18.78,18.78,18.78,353865.0,6645585.0,99700000.0,0.003549297893681043
2016-09-22,20.66,20.66,20.66,20.66,382292.0,7898153.0,99700000.0,0.0038344232698094283
2016-09-23,22.73,22.73,22.73,22.73,388826.0,8838015.0,99700000.0,0.0038999598796389165
2016-09-26,25.0,25.0,20.46,20.46,48997349.0,1059596447.0,99700000.0,0.49144783350050153
2016-09-27,19.75,19.98,18.55,19.41,36133445.0,700256622.0,99700000.0,0.3624217151454363
2016-09-28,19.25,19.68,18.49,18.52,24309123.0,461032136.0,99700000.0,0.24382269809428284
2016-09-29,18.2,19.16,18.09,18.37,20189343.0,375645579.0,99700000.0,0.20250093279839518
2016-09-30,18.1,18.17,17.1,17.23,23454144.0,412054474.0,99700000.0,0.2352471815446339
2016-10-10,17.32,17.64,17.11,17.51,14501125.0,252730681.0,99700000.0,0.145447592778335
2016-10-11,17.42,18.75,17.33,18.38,23030934.0,414070924.0,99700000.0,0.23100234704112338
2016-10-12,17.96,18.89,17.88,18.31,22462936.0,414914889.0,99700000.0,0.22530527582748244
2016-10-13,18.15,18.35,17.8,17.83,13819137.0,248723285.0,99700000.0,0.13860719157472418
2016-10-14,18.0,18.19,17.84,18.1,10262281.0,185160920.0,99700000.0,0.10293160481444333
2016-10-17,18.13,18.18,17.36,17.56,11692965.0,207060154.0,99700000.0,0.11728149448345035
