代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时间戳
bj920000,安徽凤凰,20.8,-0.33,-1.562,20.8,20.82,21.13,21.05,21.22,20.78,2185494.0,45726504.0,15:30:00
bj920001,纬达光电,20.9,-0.32,-1.508,20.9,20.91,21.22,21.22,21.39,20.9,979901.0,20670485.0,15:30:00
bj920002,万达轴承,112.91,-4.09,-3.496,112.91,112.92,117.0,116.95,116.95,112.73,1378278.0,157104612.0,15:30:00
bj920003,N中诚,38.54,24.27,170.077,38.54,38.55,14.27,42.0,42.87,38.43,11483985.0,461706464.0,15:30:00
bj920005,鼎佳精密,46.5,-0.58,-1.232,46.49,46.5,47.08,47.35,47.35,46.01,548615.0,25630804.0,15:30:00
bj920006,晟楠科技,28.32,-0.2,-0.701,28.32,28.4,28.52,28.6,28.69,28.23,998410.0,28389231.0,15:30:00
bj920007,酉立智能,74.11,-0.16,-0.215,74.1,74.11,74.27,73.78,75.72,73.21,647463.0,48317697.0,15:30:00
bj920008,成电光信,30.8,-0.24,-0.773,30.79,30.8,31.04,31.29,31.29,30.73,609707.0,18847690.0,15:30:00
bj920009,丹娜生物,81.7,-1.8,-2.156,81.69,81.7,83.5,81.58,82.94,80.88,1526476.0,124578757.0,15:30:00
bj920010,凯添燃气,13.95,-0.16,-1.134,13.94,13.95,14.11,14.12,14.38,13.86,6379558.0,89706622.0,15:30:00
bj920014,特瑞斯,13.59,-0.06,-0.44,13.52,13.59,13.65,13.6,13.67,13.46,543603.0,7366933.0,15:30:00
bj920015,锦华新材,66.69,5.76,9.453,66.69,66.75,60.93,61.0,70.35,61.0,10341861.0,683965082.0,15:30:00
bj920016,中草香料,21.95,0.04,0.183,21.94,21.95,21.91,21.88,22.25,21.88,663297.0,14640475.0,15:30:00
bj920017,星昊医药,20.15,-0.1,-0.494,20.15,20.16,20.25,20.32,20.45,20.07,2199000.0,44504143.0,15:30:00
bj920018,宏远股份,33.2,1.4,4.403,33.2,33.23,31.8,31.51,33.58,31.38,6230378.0,205366747.0,15:30:00
bj920019,铜冠矿建,21.0,-0.26,-1.223,20.98,21.0,21.26,21.23,21.42,20.85,1718566.0,36283871.0,15:30:00
bj920020,泰凯英,19.08,-0.64,-3.245,19.08,19.09,19.72,19.55,19.6,19.07,6227916.0,119905901.0,15:30:00
bj920021,流金科技,6.87,-0.04,-0.579,6.87,6.88,6.91,6.9,6.94,6.84,6504698.0,44757203.0,15:30:00
bj920022,世昌股份,32.39,-0.62,-1.878,32.39,32.4,33.01,33.01,33.1,32.39,1161435.0,37983643.0,15:30:00
bj920023,田野股份,4.58,0.05,1.104,4.58,4.59,4.53,4.6,4.8,4.57,20998549.0,98183110.0,15:30:00
bj920026,卓兆点胶,38.79,-0.39,-0.995,38.78,38.79,39.18,39.01,39.3,38.58,870917.0,33841866.0,15:30:00
bj920027,交大铁发,26.74,0.05,0.187,26.73,26.74,26.69,26.8,26.92,26.65,789706.0,21139803.0,15:30:00
bj920029,开发科技,95.63,1.39,1.475,95.63,95.64,94.24,94.0,96.24,93.64,1076011.0,102705283.0,15:30:00
bj920030,德众汽车,7.38,-0.04,-0.539,7.38,7.39,7.42,7.45,7.52,7.36,3237237.0,24059159.0,15:30:00
bj920033,康普化学,19.02,0.14,0.742,19.02,19.04,18.88,18.87,19.59,18.7,1760257.0,33796084.0,15:30:00
bj920037,广信科技,104.13,-7.13,-6.408,104.12,104.13,111.26,108.88,110.36,104.01,2837294.0,302926131.0,15:30:00
bj920039,国义招标,12.8,-0.38,-2.883,12.78,12.8,13.18,13.15,13.19,12.8,2073192.0,26945737.0,15:30:00
bj920046,亿能电力,16.02,-0.49,-2.968,16.01,16.02,16.51,16.38,17.18,16.0,10313070.0,169903175.0,15:30:00
bj920047,诺思兰德,25.73,-0.44,-1.681,25.73,25.75,26.17,26.21,26.38,25.65,2519114.0,65187478.0,15:30:00
bj920056,能之光,26.57,-0.11,-0.412,26.57,26.61,26.68,26.83,26.86,26.52,765820.0,20426586.0,15:30:00
bj920057,百甲科技,7.37,-0.09,-1.206,7.37,7.38,7.46,7.47,7.51,7.36,2695859.0,20023383.0,15:30:00
bj920058,华洋赛车,36.59,-0.68,-1.825,36.55,36.59,37.27,37.28,37.62,36.5,794994.0,29425158.0,15:30:00
bj920060,万源通,34.29,-0.52,-1.494,34.28,34.29,34.81,34.62,34.96,34.23,3108169.0,107180364.0,15:30:00
bj920061,西磁科技,34.21,-0.13,-0.379,34.2,34.21,34.34,34.2,34.99,34.03,793458.0,27326394.0,15:30:00
bj920062,科润智控,12.52,-0.14,-1.106,12.52,12.53,12.66,12.43,13.16,12.43,17811867.0,227714443.0,15:30:00
bj920066,科拜尔,29.1,-0.28,-0.953,29.02,29.1,29.38,29.34,29.6,29.01,392291.0,11487951.0,15:30:00
bj920068,天工股份,18.4,-0.22,-1.182,18.38,18.4,18.62,18.63,18.75,18.4,1265131.0,23486572.0,15:30:00
bj920075,柏星龙,29.22,-0.15,-0.511,29.22,29.23,29.37,29.34,29.59,29.07,568737.0,16642900.0,15:30:00
bj920077,吉林碳谷,15.12,0.22,1.477,15.12,15.13,14.9,14.8,15.28,14.8,6990411.0,105820070.0,15:30:00
bj920080,奥美森,30.12,-0.26,-0.856,30.11,30.12,30.38,30.18,30.58,30.08,1152953.0,34918073.0,15:30:00
bj920082,方正阀门,19.2,-0.37,-1.891,19.2,19.21,19.57,19.58,19.59,19.14,1494570.0,28890220.0,15:30:00
bj920087,秋乐种业,15.71,-0.2,-1.257,15.71,15.72,15.91,15.97,16.17,15.68,3596928.0,57075764.0,15:30:00
bj920088,科力股份,33.77,-0.25,-0.735,33.77,33.83,34.02,34.17,34.34,33.74,1306592.0,44433802.0,15:30:00
bj920089,禾昌聚合,20.23,-0.03,-0.148,20.23,20.24,20.26,20.21,20.59,20.2,2817312.0,57390475.0,15:30:00
bj920090,同辉信息,7.07,-0.16,-2.213,7.06,7.07,7.23,7.23,7.23,7.06,4724727.0,33701656.0,15:30:00
bj920092,汉鑫科技,35.14,-0.38,-1.07,35.14,35.15,35.52,35.85,35.88,34.93,459295.0,16190728.0,15:30:00
bj920098,科隆新材,29.62,-0.34,-1.135,29.62,29.63,29.96,29.8,30.2,29.6,730095.0,21742959.0,15:30:00
bj920099,瑞华技术,31.52,-0.06,-0.19,31.47,31.52,31.58,31.4,31.96,31.36,521638.0,16521390.0,15:30:00
bj920100,三协电机,69.82,-2.02,-2.812,69.82,69.84,71.84,71.53,72.84,69.8,1713301.0,121261321.0,15:30:00
bj920101,志高机械,44.35,-0.21,-0.471,44.35,44.36,44.56,44.57,44.74,44.26,731344.0,32498482.0,15:30:00
bj920106,林泰新材,94.8,4.57,5.065,94.8,94.85,90.23,90.2,96.9,90.2,2253211.0,214303482.0,15:30:00
bj920108,宏海科技,15.53,0.03,0.194,15.53,15.55,15.5,15.58,15.65,15.45,801709.0,12477180.0,15:30:00
bj920110,雷特科技,39.23,-0.26,-0.658,39.23,39.44,39.49,39.51,39.51,38.92,294570.0,11548014.0,15:30:00
bj920111,聚星科技,27.88,0.18,0.65,27.88,27.89,27.7,27.63,28.19,27.47,1515808.0,42254954.0,15:30:00
bj920112,巴兰仕,42.06,0.33,0.791,42.01,42.06,41.73,41.9,42.2,41.51,759573.0,31846248.0,15:30:00
bj920116,星图测控,72.86,4.0,5.809,72.85,72.86,68.86,69.44,73.05,68.38,4019707.0,285957073.0,15:30:00
bj920118,太湖远大,25.74,-0.4,-1.53,25.74,25.76,26.14,26.19,26.25,25.63,1461070.0,37955341.0,15:30:00
bj920122,中纺标,39.19,-0.19,-0.482,39.19,39.2,39.38,39.52,39.75,39.04,518083.0,20375570.0,15:30:00
bj920123,芭薇股份,17.43,-0.13,-0.74,17.42,17.43,17.56,17.6,17.74,17.37,739240.0,12966695.0,15:30:00
bj920128,胜业电气,30.7,-0.43,-1.381,30.68,30.7,31.13,30.85,31.52,30.7,1039279.0,32307190.0,15:30:00
bj920130,立方控股,25.69,-0.21,-0.811,25.67,25.69,25.9,25.93,26.12,25.52,953104.0,24596497.0,15:30:00
bj920132,泰鹏智能,20.63,0.09,0.438,20.63,20.68,20.54,20.77,20.8,20.46,443602.0,9175049.0,15:30:00
bj920139,华岭股份,22.57,-0.36,-1.57,22.57,22.58,22.93,22.57,23.04,22.48,4685742.0,105965399.0,15:30:00
bj920145,恒合股份,24.98,0.42,1.71,24.98,24.99,24.56,24.76,25.06,24.22,1036860.0,25698644.0,15:30:00
bj920146,华阳变速,9.91,-0.01,-0.101,9.91,9.92,9.92,9.96,10.18,9.9,4349522.0,43644992.0,15:30:00
bj920149,旭杰科技,13.91,-0.16,-1.137,13.91,13.96,14.07,14.16,14.18,13.8,1151343.0,16151856.0,15:30:00
bj920152,昆工科技,28.51,2.3,8.775,28.5,28.51,26.21,26.25,28.51,26.25,5379411.0,148823337.0,15:30:00
bj920158,长江能科,17.7,-0.01,-0.056,17.7,17.71,17.71,17.67,17.92,17.48,3137240.0,55594138.0,15:30:00
bj920163,方大新材,17.02,-0.47,-2.687,17.02,17.03,17.49,17.45,17.45,17.02,943144.0,16216521.0,15:30:00
bj920167,同享科技,19.45,0.25,1.302,19.43,19.45,19.2,19.16,19.89,19.04,3173533.0,62246800.0,15:30:00
bj920169,七丰精工,31.05,-0.33,-1.052,31.05,31.06,31.38,31.42,31.42,30.9,1620129.0,50369930.0,15:30:00
bj920171,志晟信息,24.48,-0.46,-1.844,24.48,24.5,24.94,25.03,25.04,24.43,1515073.0,37323886.0,15:30:00
bj920174,五新隧装,52.75,-0.55,-1.032,52.73,52.75,53.3,53.08,53.66,52.7,1840502.0,97606478.0,15:30:00
bj920175,东方碳素,13.51,0.35,2.66,13.51,13.52,13.16,13.11,13.76,13.11,4892266.0,65754130.0,15:30:00
bj920179,凯德石英,36.81,-0.25,-0.675,36.81,36.83,37.06,36.93,37.99,36.5,1626197.0,60592679.0,15:30:00
bj920184,国源科技,20.61,-0.13,-0.627,20.61,20.63,20.74,20.87,20.98,20.35,2912189.0,60122199.0,15:30:00
bj920185,贝特瑞,37.37,1.52,4.24,37.36,37.37,35.85,35.85,38.6,35.02,24659594.0,914232134.0,15:30:00
bj920190,雷神科技,26.83,-0.54,-1.973,26.82,26.83,27.37,27.63,27.63,26.81,1597397.0,43059309.0,15:30:00
bj920195,三祥科技,22.14,-0.01,-0.045,22.14,22.15,22.15,22.15,22.65,22.11,2707159.0,60525431.0,15:30:00
bj920198,微创光电,10.9,-0.13,-1.179,10.9,10.91,11.03,10.99,11.09,10.89,2844902.0,31203488.0,15:30:00
bj920199,倍益康,35.85,-1.46,-3.913,35.82,35.85,37.31,37.49,37.49,35.8,1772065.0,64407424.0,15:30:00
bj920204,沪江材料,19.99,-0.01,-0.05,19.98,19.99,20.0,20.07,20.2,19.8,920073.0,18458177.0,15:30:00
bj920207,众诚科技,23.45,-0.61,-2.535,23.45,23.46,24.06,23.75,23.98,23.41,1473373.0,34772016.0,15:30:00
bj920208,青矩技术,26.88,-0.2,-0.739,26.88,26.9,27.08,27.28,27.32,26.82,1310203.0,35357643.0,15:30:00
bj920212,智新电子,15.08,-0.13,-0.855,15.08,15.12,15.21,15.2,15.25,15.04,786516.0,11894991.0,15:30:00
bj920221,易实精密,18.71,-0.17,-0.9,18.71,18.72,18.88,18.94,18.99,18.68,859470.0,16169919.0,15:30:00
bj920223,荣亿精密,22.03,-0.76,-3.335,22.02,22.03,22.79,22.85,23.58,22.01,10899152.0,246391277.0,15:30:00
bj920225,利通科技,40.08,0.9,2.297,40.08,40.09,39.18,38.0,40.88,37.6,5511318.0,217449430.0,15:30:00
bj920227,美登科技,58.4,-1.04,-1.75,58.39,58.4,59.44,59.45,59.88,58.35,247759.0,14574240.0,15:30:00
bj920230,欧康医药,14.73,-0.22,-1.472,14.73,14.85,14.95,14.95,15.04,14.63,983853.0,14574502.0,15:30:00
bj920237,力佳科技,28.25,-0.03,-0.106,28.25,28.27,28.28,28.0,29.29,27.88,3675441.0,104772789.0,15:30:00
bj920239,长虹能源,37.57,0.82,2.231,37.57,37.58,36.75,36.55,38.4,36.21,5287937.0,198072185.0,15:30:00
bj920242,建邦科技,32.53,-0.46,-1.394,32.53,32.54,32.99,33.13,33.13,32.41,551647.0,18071080.0,15:30:00
bj920245,威博液压,29.36,-0.41,-1.377,29.35,29.36,29.77,29.9,29.99,29.21,504148.0,14854385.0,15:30:00
bj920247,华密新材,29.93,1.43,5.018,29.93,29.94,28.5,28.54,31.2,28.51,7877951.0,235568979.0,15:30:00
bj920249,利尔达,14.72,-0.21,-1.407,14.72,14.75,14.93,14.72,14.93,14.7,4665422.0,68952141.0,15:30:00
bj920252,天宏锂电,30.93,1.29,4.352,30.93,30.94,29.64,29.23,32.2,29.23,9438890.0,289430002.0,15:30:00
bj920260,中寰股份,12.9,0.05,0.389,12.9,12.93,12.85,12.8,12.97,12.79,534033.0,6881835.0,15:30:00
bj920261,一诺威,16.48,0.41,2.551,16.45,16.48,16.07,16.02,16.8,15.97,3742409.0,61488648.0,15:30:00
bj920262,太湖雪,26.05,-0.85,-3.16,26.05,26.06,26.9,26.78,26.98,26.02,1540833.0,40641884.0,15:30:00
