序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,920640,富士达,43.0,27.56,9.29,351644.0,1395664827.14,28.21,43.82,34.31,34.98,33.71,3.67,19.47,108.25,8.79,8072304000.0,7765896105.0,0.49,1.9,59.67,58.32
2,300745,欣锐科技,29.82,20.0,4.97,229995.0,639854429.63,20.0,29.82,24.85,24.97,24.85,4.28,16.27,-59.86,2.22,4998261140.0,4215337368.0,0.0,0.0,52.84,87.31
3,300438,鹏辉能源,48.59,20.0,8.1,554317.0,2661294990.56,7.63,48.59,45.5,45.5,40.49,1.58,13.72,160.13,4.69,24457453862.0,19638340324.0,0.0,0.0,84.4,72.86
4,688028,沃尔德,53.75,19.52,8.78,174334.0,870803422.0,18.41,53.96,45.68,46.89,44.97,3.27,11.55,85.22,4.14,8113508750.0,8113508750.0,-0.39,-0.39,130.39,146.67
5,688027,国盾量子,608.54,19.09,97.54,113488.0,6436816809.0,20.2,613.2,510.0,512.0,511.0,1.97,14.12,-1773.59,19.48,62595033549.0,48911019120.0,-0.26,0.75,121.7,103.96
6,300390,天华新能,31.15,16.71,4.46,781846.0,2259044402.72,18.88,31.45,26.41,26.51,26.69,2.53,11.63,590.54,2.37,25877887046.0,20949514156.0,0.29,0.68,51.95,38.75
7,688095,福昕软件,90.21,16.61,12.85,111250.0,987851312.0,18.32,92.83,78.66,78.66,77.36,6.73,12.17,4402.87,3.26,8248759460.0,8248759460.0,0.65,0.57,14.64,34.9
8,688171,纬德信息,55.14,15.65,7.46,55075.0,299344623.0,19.99,57.22,47.69,47.69,47.68,4.99,6.57,743.3,5.63,4619265276.0,4619265276.0,-0.07,-0.04,45.22,230.38
9,688160,步科股份,102.23,15.14,13.44,62543.0,616964605.0,14.21,104.55,91.93,91.93,88.79,6.79,7.45,156.4,7.33,9285776419.0,8587320000.0,0.42,-0.16,8.52,79.16
10,300862,蓝盾光电,25.55,14.06,3.15,208100.0,520775234.51,19.29,26.68,22.36,22.45,22.4,9.46,13.74,-59.94,2.37,4716987396.0,3870084229.0,-0.16,-0.27,1.23,-5.93
11,688622,禾信仪器,149.66,13.92,18.29,60956.0,890244095.0,22.52,157.64,128.05,128.53,131.37,3.32,8.65,-218.5,28.77,10545869873.0,10545869873.0,0.29,0.04,53.58,146.92
12,920505,九菱科技,60.18,13.78,7.29,55463.0,323313526.72,24.56,65.0,52.01,52.88,52.89,2.71,15.29,217.36,11.73,3903739991.0,2183161354.0,0.15,0.07,-9.6,223.37
13,688337,普源精电,47.26,13.22,5.52,118339.0,532219379.0,21.42,50.0,41.06,42.5,41.74,2.45,6.34,169.2,2.92,9173356458.0,8814736897.0,0.13,0.6,36.95,22.44
14,300520,科大国创,47.29,13.16,5.5,1050131.0,4613227543.86,21.18,48.6,39.75,41.38,41.79,1.33,37.77,-86.54,7.8,13810146841.0,13147018797.0,0.66,1.72,92.71,106.69
15,688783,C奕材-U,30.06,12.37,3.31,738991.0,2151493787.0,20.49,32.28,26.8,27.5,26.75,0.89,44.89,-163.19,9.64,121376268000.0,4948404635.0,0.33,0.2,248.72,248.72
16,920725,惠丰钻石,39.01,12.07,4.2,90795.0,335655191.72,18.85,40.6,34.04,34.64,34.81,1.56,21.58,-176.69,5.86,3560637750.0,1641453496.0,-0.13,-0.23,34.61,0.7
17,920641,格利尔,22.8,12.04,2.45,131819.0,323707453.61,26.29,26.45,21.1,21.1,20.35,6.23,29.52,78.56,4.8,1711710000.0,1018116216.0,-0.35,-0.91,28.6,88.59
